,,,Servol (weiblich),,Psiana,,Megalon,,Geronimatz,,,,,,,,,,,,,,,,,Giga-Schlapfel
,,,Skelabra,,Pumpdjinn-Form,,Mitodos,,Gladiantri,,,,,,,,,,,,,,,,,Branawarz
,,,Symvolara,,Quartermak,,Mogelbaum,,Glibunkel,,,,,,,,,,,,,,,,,Skelabra
,,,Tectass,,Raichu,,Morbitesse,,Glumanda,,,,,,,,,,,,,,,,,Rihornior
,,,Toxiquak,,Rexblisar,,Ninjask,,Glutexo,,,,,,,,,,,,,,,,,Milotic
,,,Turtok,,Rotom,,Ninjatom,,Golbit,,,,,,,,,,,,,,,,,Turtok
,,,UHaFnir,,Rotom (Kühl-Form),,Noctuh,,Goldini,,,,,,,,,,,,,,,,,Giga-Deponitox
,,,Viscogon,,Rotom (Wirbel-Form),,Octillery,,Gramokles,,,,,,,,,,,,,,,,,Libelldra
,,,Vulnona,,Sabbaione,,Oghnatoll,,Grolldra,,,,,,,,,,,,,,,,,Kosturso
,,,,,Sanaconda,,Pampuli,,Hokumil,,,,,,,,,,,,,,,,,Symvolara
,,,,,Schlapfel,,Pantimos,,Hoothoot,,,,,,,,,,,,,,,,,Elezard
,,,,,Sen-Long,,Pescryodon,,Hopplo,,,,,,,,,,,,,,,,,Vulnona
,,,,,Silvarro,,Piepi,,Hypnomorba,,,,,,,,,,,,,,,,,Lauchzelot
,,,,,Skuntank,,Psiaugon (männlich),,Irrbis-Form,,,,,,,,,,,,,,,,,Austos
,,,,,Smogmog,,Psiaugon (weiblich),,Iscalar,,,,,,,,,,,,,,,,,Servol (männlich)
,,,,,Sniebel,,Rizeros,,Isso,,,,,,,,,,,,,,,,,Roserade
,,,,,Stahlos,,Schlaraffel,,Kamehaps,,,,,,,,,,,,,,,,,Elfun
,,,,,Thanathora,,Sharfax,,Kapuno,,,,,,,,,,,,,,,,,Bronzong
,,,,,Typ:Null,,Siberio,,Karpador,,,,,,,,,,,,,,,,,Pampross
,,,,,Viridium,,Smettbo,,Keradar,,,,,,,,,,,,,,,,,Raichu
,,,,,Voltula,,Snobilikat,,Kickerlo,,,,,,,,,,,,,,,,,Amigento (Fee)
,,,,,Washakwil,,Somnivora,,Kiesling,,,,,,,,,,,,,,,,,Typ:Null
,,,,,Xatu,,Sonnfel,,Kikugi,,,,,,,,,,,,,,,,,Piondragi
,,,,,Zwollock,,Tengulist,,Kirlia,,,,,,,,,,,,,,,,,Parfinesse
,,,,,,,Togedemaru,,Kleptifux,,,,,,,,,,,,,,,,,Guardevoir
,,,,,,,Togetic,,Klikk,,,,,,,,,,,,,,,,,Stahlos
,,,,,,,Tortunator,,Kliklak,,,,,,,,,,,,,,,,,Sen-Long
,,,,,,,Trombork,,Klonkett,,,,,,,,,,,,,,,,,Chillabell
,,,,,,,Urgl,,Klopptopus,,,,,,,,,,,,,,,,,Donarion
,,,,,,,Viscargot,,Knacklion,,,,,,,,,,,,,,,,,Xatu
,,,,,,,Voltenso,,Knapfel,,,,,,,,,,,,,,,,,Sanaconda
,,,,,,,Wailord,,Knospi,,,,,,,,,,,,,,,,,Washakwil
,,,,,,,Welsar,,Krabby,,,,,,,,,,,,,,,,,Fruyal
,,,,,,,Woingenau,,Kranoviz,,,,,,,,,,,,,,,,,Galagladi
,,,,,,,Zobiris,,Krebscorps,,,,,,,,,,,,,,,,,Britzigel
,,,,,,,Zwirrfinst,,Kupfanti,,,,,,,,,,,,,,,,,Smogmog
,,,,,,,Zwirrklop,,Lampi,,,,,,,,,,,,,,,,,Duokles
,,,,,,,,,Larvitar,,,,,,,,,,,,,,,,,Lanturn
,,,,,,,,,Laternecto,,,,,,,,,,,,,,,,,Skuntank
,,,,,,,,,Laukaps,,,,,,,,,,,,,,,,,Rotom
,,,,,,,,,Lichtel,,,,,,,,,,,,,,,,,Sniebel
,,,,,,,,,Lithomith,,,,,,,,,,,,,,,,,Silvarro
,,,,,,,,,Lombrero,,,,,,,,,,,,,,,,,Keifel
,,,,,,,,,Loturzel,,,,,,,,,,,,,,,,,Bandelby
,,,,,,,,,Mabula,,,,,,,,,,,,,,,,,Voltula
,,,,,,,,,Machollo,,,,,,,,,,,,,,,,,Pumpdjinn XL Form
,,,,,,,,,Makabaja,,,,,,,,,,,,,,,,,Alola-Raichu
,,,,,,,,,Mantirps,,,,,,,,,,,,,,,,,Arktilas
,,,,,,,,,Marikeck,,,,,,,,,,,,,,,,,Moruda
,,,,,,,,,Maschock,,,,,,,,,,,,,,,,,Gortrom
,,,,,,,,,Mauzi,,,,,,,,,,,,,,,,,Galar-Gallopa
,,,,,,,,,Mebrana,,,,,,,,,,,,,,,,,Giflor
,,,,,,,,,Mediras,,,,,,,,,,,,,,,,,Mottineva
,,,,,,,,,Meikro,,,,,,,,,,,,,,,,,Amigento (ohne Disc)
,,,,,,,,,Meltan,,,,,,,,,,,,,,,,,Gorgasonn
,,,,,,,,,Memmeon,,,,,,,,,,,,,,,,,Montecarbo
,,,,,,,,,Miezunder,,,,,,,,,,,,,,,,,Viridium
,,,,,,,,,Milza,,,,,,,,,,,,,,,,,Echnatoll
,,,,,,,,,Miniras,,,,,,,,,,,,,,,,,Baldorfish
,,,,,,,,,Mobai,,,,,,,,,,,,,,,,,Somnivora
,,,,,,,,,Mollimorba,,,,,,,,,,,,,,,,,Gallopa
,,,,,,,,,Molunk,,,,,,,,,,,,,,,,,Togetic
,,,,,,,,,Monozyto,,,,,,,,,,,,,,,,,Pampuli
,,,,,,,,,Muschas,,,,,,,,,,,,,,,,,Castellith
,,,,,,,,,Myrapla,,,,,,,,,,,,,,,,,Flunschlik
,,,,,,,,,Natu,,,,,,,,,,,,,,,,,Ninjask
,,,,,,,,,Navitaub,,,,,,,,,,,,,,,,,Golgantes
,,,,,,,,,Nebulak,,,,,,,,,,,,,,,,,Strepoli
,,,,,,,,,Nincada,,,,,,,,,,,,,,,,,Rizeros
,,,,,,,,,Onix,,,,,,,,,,,,,,,,,Gufa
,,,,,,,,,Pam-Pam,,,,,,,,,,,,,,,,,Kingler
,,,,,,,,,Pantimimi,,,,,,,,,,,,,,,,,Piepi
,,,,,,,,,Paragoni,,,,,,,,,,,,,,,,,Glaziola
,,,,,,,,,Parfi,,,,,,,,,,,,,,,,,Flamara
,,,,,,,,,Pelzebub,,,,,,,,,,,,,,,,,Alpollo
,,,,,,,,,Petznief,,,,,,,,,,,,,,,,,Deponitox
,,,,,,,,,Phandra,,,,,,,,,,,,,,,,,Viscargot
,,,,,,,,,Phlegleon,,,,,,,,,,,,,,,,,Blitza
,,,,,,,,,Pichu,,,,,,,,,,,,,,,,,Mitodos
,,,,,,,,,Picochilla,,,,,,,,,,,,,,,,,Oghnatoll
,,,,,,,,,Pii,,,,,,,,,,,,,,,,,Sedimantur
,,,,,,,,,Pikachu,,,,,,,,,,,,,,,,,Cottomi
,,,,,,,,,Pikuda,,,,,,,,,,,,,,,,,Mauzinger
,,,,,,,,,Pionskora,,,,,,,,,,,,,,,,,Kommandutan
,,,,,,,,,Ponita,,,,,,,,,,,,,,,,,Flunkifer
,,,,,,,,,Porenta,,,,,,,,,,,,,,,,,Tortunator
,,,,,,,,,Praktibalk,,,,,,,,,,,,,,,,,Sonnfel
,,,,,,,,,Psiau,,,,,,,,,,,,,,,,,Smettbo
,,,,,,,,,Pupitar,,,,,,,,,,,,,,,,,Jiutesto
,,,,,,,,,Puppance,,,,,,,,,,,,,,,,,Psiaugon (männlich)
,,,,,,,,,Pygraulon,,,,,,,,,,,,,,,,,Gladiantri
,,,,,,,,,Quabbel,,,,,,,,,,,,,,,,,Pantimos
,,,,,,,,,Quiekel,,,,,,,,,,,,,,,,,Lunastein
,,,,,,,,,Rabauz,,,,,,,,,,,,,,,,,Kleoparda
,,,,,,,,,Raffel,,,,,,,,,,,,,,,,,Furnifraß
,,,,,,,,,Raupy,,,,,,,,,,,,,,,,,Humanolith
,,,,,,,,,Reißlaus,,,,,,,,,,,,,,,,,Noctuh
,,,,,,,,,Remoraid,,,,,,,,,,,,,,,,,Alola-Digdri
,,,,,,,,,Rihorn,,,,,,,,,,,,,,,,,Drifzepeli
,,,,,,,,,Riolu,,,,,,,,,,,,,,,,,Pescryodon
,,,,,,,,,Robball,,,,,,,,,,,,,,,,,Barschuft
,,,,,,,,,Roselia
,,,,,,,,,Rotomurf
,,,,,,,,,Safcon
,,,,,,,,,Salanga
,,,,,,,,,Samurzel
,,,,,,,,,Schalellos
,,,,,,,,,Schallquap
,,,,,,,,,Schiggy
,,,,,,,,,Schillok
,,,,,,,,,Schmerbe
,,,,,,,,,Schneppke
,,,,,,,,,Schnuthelm
,,,,,,,,,Scoppel
,,,,,,,,,Sedimantur
,,,,,,,,,Sensect
,,,,,,,,,Shnebedeck
,,,,,,,,,Skallyk
,,,,,,,,,Skunkapuh
,,,,,,,,,Smogon
,,,,,,,,,Snomnom
,,,,,,,,,Somniam
,,,,,,,,,Strepoli
,,,,,,,,,Thermopod
,,,,,,,,,Togepi
,,,,,,,,,Toxel
,,,,,,,,,Trasla
,,,,,,,,,Unratütox
,,,,,,,,,Velursi
,,,,,,,,,Vibrava
,,,,,,,,,Viscora
,,,,,,,,,Voldi
,,,,,,,,,Vulpix
,,,,,,,,,Wadribie
,,,,,,,,,Wagong
,,,,,,,,,Wailmer
,,,,,,,,,Wattzapf
,,,,,,,,,Waumboll
,,,,,,,,,Wingull
,,,,,,,,,Wolly
,,,,,,,,,Wommel
,,,,,,,,,Zigzachs
,,,,,,,,,Zurrokex
,,,,,,,,,Zwirrlicht
