,,,Wählbar: 2,,Wählbar: 2,,Wählbar: 3,,Wählbar: 2,,Wählbar: 2
,Mega-Lucario,,Mega-Bisaflor,,Mega-Tohaido,,Hariyama,,Gastrodon,,Bibor,,Chelcarain
,Mega-Lohgock,,Mega-Diancie,,Mega-Voltenso,,Heiteira,,Geradaks,,Bidifas,,Cosmog
,Mega-Metagross,,Mega-Galagladi,,Meistagrif,,Hoopa,,Gewaldro,,Bisaknosp,,Cosmovum
,Mega-Mewtu X/Y,,Mega-Garados,,Mimigma,,Iksbat,,Golbat,,Bisofank,,Dartignis
,Mew,,Mega-Glurak X,,Nidoking,,Impergator,,Granbull,,Blubella,,Dartiri
,Mewtu,,Mega-Glurak Y,,Nidoqueen,,Impoleon,,Gufa,,Bojelin,,Digda
,Palkia,,Mega-Guardevoir,,Panferno,,Kapilz,,Hydragil,,Bollterus,,Dodu
,Quajutsu,,Mega-Knakrack,,Panzaeron,,Kosturso,,Irokex,,Botogel,,Draschel
,Rayquaza,,Mega-Lahmus,,Pelipper,,Kramshef,,Kapoera,,Bronzel,,Dratini
,Reshiram,,Mega-Latias,,Porygon2,,Krawumms,,Karadonis,,Burmadame,,Driftlon
,Schabelle,,Mega-Latios,,Raikou,,Krebutack,,Keifel,,Calamanero,,Dusselgurr
,Shaymin-Sky,,Mega-Meditalis,,Ramoth,,Kyurem,,Kicklee,   ,Camerupt,,eF-eM
,Solgaleo,,Mega-Pinsir,,Resladero,,Libelldra,,Knirfish,,Castellith,,Eguana
,Xerneas,,Mega-Scherox,,Serpiroyal,,Lucario,,Kryppuk,,Chelterrar,,Elekid
,Yveltal,,Mega-Schlapor,,Simsala,,Magnezone,,Lanturn,,Chevrumm,,Elezeba
,Zekrom,,Mega-Simsala,,Skorgro,,Mamolida,,Lavados,,Choreogel,,Endivie
,Zygarde-100%,,Mega-Zobiris,,Staraptor,,Mantax,,Lohgock (ohne VF),,Coiffwaff,,Eneco
,,,Necrozma,,Starmie,,Maxax,,Machomei,,Colossand,,Enton
,Gebannte Fähigkeiten,,Pixi,,Suicune,,Meditalis,,Magneton,,Corasonn,,Evoli
,Auswegslos,,Relaxo,,Tentantel,,Mega-Ampharos,,Mega-Banette,,Damhirplex,,Felilou
,Wegsperre,,Rotom-Wash,,Terrakium,,Mega-Gewaldro,,Mega-Camerupt,,Dartignis,,Felino
,,,Snibunna,,Tobutz,,Mega-Hundemon,,Mega-Firnontor,,Dedenne,,Ferkokel
,,,Stalobor,,Togekiss,,Mega-Turtok,,Mega-Ohrdoch,,Deponitox,,Feurigel
,,,Tangoloss,,Trikephalo,,Mega-Stahlos,,Mega-Rexblisar,,Digdri,,Fiffyen
,,,Victini,,Volcanion,,Mega-Stolloss,,Meteno,,Dodri,,Finneon
,,,Voltolos-I,,Voltriant,,Meloetta,,Miltank,,Donarion,,Flabébé
,,,Voltolos-T,,Zeraora,,Metagross,,Morlord,,Dragonir,,Flamiau
,,,Zapdos,,Zytomega,,Milotic,,Moruda,,Dressella,,Flampion
,,,Zygarde-50%,,,,Monargoras,,Pandagro,,Drifzepeli,,Flapteryx
,,,,,,,Muramura,,Parfinesse,,Duflor,,Flauschling
,,,,,,,Nachtara,,Piondragi,,Dummisel,,Fleknoil
,,,,,,,Omot,,Pottrott,,Duodino,,Flemmli
,,,,,,,Porygon-Z,,Psiana,,Efoserp,,Floink
,,,,,,,Primarene,,Pumpdjinn,,Elektek,,Fluffeluff
,,,,,,,Quajutsu (ohne VF),,Quartermak,,Emolga,,Flurmel
,,,,,,,Quaxo,,Regirock,,Enekoro,,Folikon
,,,,,,,Qurtel,,Rihornior,,Entoron,,Frizelbliz
,,,,,,,Rabigator,,Sabbaione,,Farbeagle,,Froxy
,,,,,,,Registeel,,Schlingking,,Fasasnob,,Frubaila
,,,,,,,Roserade,,Selfe,,Fiaro,,Frubberl
,,,,,,,Rotom-Heat,,Sen-Long,,Firnontor,,Fukano
,,,,,,,Rotom-mow,,Shardrago,,Flamara,,Fynx
,,,,,,,Scherox,,Silvarro,,Flegmon,,Galapaflos
,,,,,,,Schwalboss,,Skuntank,,Fletiamo,,Ganovil
,,,,,,,Seedraking,,Smogmog,,Floette,,Garstella
,,,,,,,Shaymin,,Sniebel,,Flunkifer,,Geckarbor
,,,,,,,Skaraborn,,Stahlos,,Flunschlik,,Gehweiher
,,,,,,,Skelabra,,Symvolara,,Folipurba,,Gelatini
,,,,,,,Skorgla,,Tangela,,Formeo,,Gelatroppo
,,,,,,,Sumpex,,Tauros,,Frigometri,,Georok
,,,,,,,Tandrak,,Tectass,,Furnifraß,,Geronimatz
,,,,,,,Tentoxa,,Thanathora,,Gallopa,,Glibunkel
,,,,,,,Tohaido,,Traunmagil,,Gelatwino,,Glumanda
,,,,,,,Toxiquak,,Turtok,,Geowaz,,Glutexo
,,,,,,,Typ:Null,,UHaFnir,,Giflor,,Golbit
,,,,,,,Viscogon,,Vesprit,,Girafarig,,Goldini
,,,,,,,Voltula,,Viridium,,Gladiantri,,Gramokles
,,,,,,,Vulnona,,Wolwerock-Zwielicht,,Glaziola,,Griffel
,,,,,,,Washakwil,,Xatu,,Glurak,,Grillmak
,,,,,,,Wie-Shu,,Zapplarang,,Golgantes,,Habitak
,,,,,,,Yanmega,,,,Golking,,Haspiror
,,,,,,,Zoroark,,,,Grillchita,,Hoothoot
,,,,,,,Zygarde-10%,,,,Groink,,Hoppspross
,,,,,,,,,,,Hippopotas,,Hornliu
,,,,,,,,,,,Honweisel,,Hubelupf
,,,,,,,,,,,Hundemon,,Hunduster
,,,,,,,,,,,Hypno,,Hydropi
,,,,,,,,,,,Ibitak,,Hypnomorba
,,,,,,,,,,,Igastarnish,,Icognito
,,,,,,,,,,,Illumise,,Igamaro
,,,,,,,,,,,Jiutesto,,Igelavar
,,,,,,,,,,,Jugong,,Ignivor
,,,,,,,,,,,Jungglut,,Imantis
,,,,,,,,,,,Kabutops,,Irrbis
,,,,,,,,,,,Kadabra,,Iscalar
,,,,,,,,,,,Kangama,,Isso
,,,,,,,,,,,Kappalores,,Jurob
,,,,,,,,,,,Karippas,,Kabuto
,,,,,,,,,,,Kastadur,,Kanivanha
,,,,,,,,,,,Kecleon,,Kapuno
,,,,,,,,,,,Kingler,,Karnimani
,,,,,,,,,,,Kinoso,,Karpador
,,,,,,,,,,,Kleoparda,,Kaumalat
,,,,,,,,,,,Klikdiklak,,Kiesling
,,,,,,,,,,,Kliklak,,Kikugi
,,,,,,,,,,,Knarksel,,Kindwurm
,,,,,,,,,,,Knogga,,Kirlia
,,,,,,,,,,,Knuddeluff,,Kleinstein
,,,,,,,,,,,Koalelu,,Klikk
,,,,,,,,,,,Kokowei,,Klingplim
,,,,,,,,,,,Kommandutan,,Knacklion
,,,,,,,,,,,Kramurx,,Knilz
,,,,,,,,,,,Krawell,,Knofensa
,,,,,,,,,,,Kronjuwild,,Knospi
,,,,,,,,,,,Kukmarda,,Koknodon
,,,,,,,,,,,Lamellux,,Kokuna
,,,,,,,,,,,Lapras,,Krabbox
,,,,,,,,,,,Ledian,,Krabby
,,,,,,,,,,,Lektrobal,,Krakeelo
,,,,,,,,,,,Lepumentas,,Krebscorps
,,,,,,,,,,,Letarking,,Kussilla
,,,,,,,,,,,Lumineon,,Lampi
,,,,,,,,,,,Lunastein,,Larvitar
,,,,,,,,,,,Lusardin,,Laternecto
,,,,,,,,,,,Luxtra,,Laukaps
,,,,,,,,,,,Magbrant,,Ledyba
,,,,,,,,,,,Magcargo,,Leufeo
,,,,,,,,,,,Magmar,,Lichtel
,,,,,,,,,,,Magnayen,,Liebiskus
,,,,,,,,,,,Mampfaxo,,Liliep
,,,,,,,,,,,Manguspektor,,Lilminip
,,,,,,,,,,,Mantidea,,Lin-Fu
,,,,,,,,,,,Maracamba,,Lithomith
,,,,,,,,,,,Marill,,Lombrero
,,,,,,,,,,,Maschock,,Lorblatt
,,,,,,,,,,,Maskeregen,,Loturzel
,,,,,,,,,,,Matrifol,,Luxio
,,,,,,,,,,,Megalon,,Mabula
,,,,,,,,,,,Meganie,,Machollo
,,,,,,,,,,,Metang,,Magby
,,,,,,,,,,,Minun ,,Magnetilo
,,,,,,,,,,,Mitodos,,Mähikel
,,,,,,,,,,,Mogelbaum,,Makabaja
,,,,,,,,,,,Morbitesse,,Makuhita
,,,,,,,,,,,moterpel,,Mangunior
,,,,,,,,,,,Muntier,,Mantirps
,,,,,,,,,,,Ninjask,,Marikeck
,,,,,,,,,,,Ninjatom,,Mauzi
,,,,,,,,,,,Nockchan,,Mebrana
,,,,,,,,,,,Noctuh,,Mediras
,,,,,,,,,,,Noktuska,,Meditie
,,,,,,,,,,,Octillery,,Menki
,,,,,,,,,,,Ohrdoch,,Miezunder
,,,,,,,,,,,Pachirisu,,Milza
,,,,,,,,,,,Palimpalim,,Miniras
,,,,,,,,,,,Pampross,,Minun
,,,,,,,,,,,Pandir,,Mobai
,,,,,,,,,,,Panpyro,,Mollimorba
,,,,,,,,,,,Pantimos,,Molunk
,,,,,,,,,,,Papinella,,Monozyto
,,,,,,,,,,,Papungha,,Morabbel
,,,,,,,,,,,Parasek,,Muschas
,,,,,,,,,,,Phione,,Myrapla
,,,,,,,,,,,Piepi,,Nagelotz
,,,,,,,,,,,Pikachu,,Nasgnet
,,,,,,,,,,,Pinsir,,Natu
,,,,,,,,,,,Plaudagei,,Navitaub
,,,,,,,,,,,Pliprin,,Nebulak
,,,,,,,,,,,Plusle,,Nidoran♀
,,,,,,,,,,,Porygon,,Nidoran♂
,,,,,,,,,,,Psiaugon,,Nidorina
,,,,,,,,,,,Pudox,,Nidorino
,,,,,,,,,,,Pyroleo,,Nincada
,,,,,,,,,,,Quappo,,Onix
,,,,,,,,,,,Raichu,,Ottaro
,,,,,,,,,,,Rameidon,,Owei
,,,,,,,,,,,Rasaff,,Pam-Pam
,,,,,,,,,,,Rattikarl,,Pampuli
,,,,,,,,,,,Regice,,Panekon
,,,,,,,,,,,Regigigas,,Panflam
,,,,,,,,,,,Relicanth,,Pantimimi
,,,,,,,,,,,Rexblisar,,Paragoni
,,,,,,,,,,,Rizeros,,Paras
,,,,,,,,,,,Rocara,,Parfi
,,,,,,,,,,,Rokkaiman,,Peppeck
,,,,,,,,,,,Rollum,,Perlu
,,,,,,,,,,,Roselia,,Petznief
,,,,,,,,,,,Rossana,,Phanpy
,,,,,,,,,,,Rotom,,Piccolente
,,,,,,,,,,,Rotom-Fan,,Pichu
,,,,,,,,,,,Rotom-Frost,,Picochilla
,,,,,,,,,,,Saganabyss,,Pii
,,,,,,,,,,,Sandamer,,Pionskora
,,,,,,,,,,,Sarzenia,,Plinfa
,,,,,,,,,,,Schillok,,Ponita
,,,,,,,,,,,Schlapor,,Porenta
,,,,,,,,,,,Schlukwech,,Praktibalk
,,,,,,,,,,,Schlurplek,,Psiau
,,,,,,,,,,,Seemon,,Pummeluff
,,,,,,,,,,,Sengo,,Pupitar
,,,,,,,,,,,Shnurgarst,,Puponcho
,,,,,,,,,,,Siberio,,Puppance
,,,,,,,,,,,Sichlor,,Purmel
,,,,,,,,,,,Skallyk,,Pygraulon
,,,,,,,,,,,Sleimok,,Quabbel
,,,,,,,,,,,Smettbo,,Quapsel
,,,,,,,,,,,Snobilikat,,Quaputzi
,,,,,,,,,,,Sodachita,,Quiekel
,,,,,,,,,,,Somnivora,,Rabauz
,,,,,,,,,,,Sonnfel,,Rattfratz
,,,,,,,,,,,Sonnflora,,Raupy
,,,,,,,,,,,Stolloss,,Reißlaus
,,,,,,,,,,,Strepoli,,Remoraid
,,,,,,,,,,,Swaroness,,Reptain
,,,,,,,,,,,Tauboss,,Rettan
,,,,,,,,,,,Tengulist,,Rihorn
,,,,,,,,,,,Togedemaru,,Riolu
,,,,,,,,,,,Togetic,,Robball
,,,,,,,,,,,Tornupto,,Rotomurf
,,,,,,,,,,,Tortunator,,Rutena
,,,,,,,,,,,Toxiped,,Safcon
,,,,,,,,,,,Traunfugil,,Samurzel
,,,,,,,,,,,Trombork,,Sandan
,,,,,,,,,,,Tropius,,Sankabuh
,,,,,,,,,,,Tukanon,,Scampisto
,,,,,,,,,,,Tyracroc,,Schalellos
,,,,,,,,,,,Ursaring,,Schallquap
,,,,,,,,,,,Vegichita,,Schaloko
,,,,,,,,,,,Venuflibis,,Schiggy
,,,,,,,,,,,Vibrava,,Schilterus
,,,,,,,,,,,Vipitis,,Schluppuck
,,,,,,,,,,,Viscargot,,Schlurp
,,,,,,,,,,,Vivillon,,Schmerbe
,,,,,,,,,,,Volbeat,,Schneckmag
,,,,,,,,,,,Voltenso,,Schneppke
,,,,,,,,,,,Voluminas,,Schnuthelm
,,,,,,,,,,,Wailord,,Schwalbini
,,,,,,,,,,,Walraisa,,Scoppel
,,,,,,,,,,,Welsar,,Sedimantur
,,,,,,,,,,,Wielie,,Seemops
,,,,,,,,,,,Wiesenior,,Seeper
,,,,,,,,,,,Wolwerock-Tag/Nacht,,Sejong
,,,,,,,,,,,Wummer,,Serpifeu
,,,,,,,,,,,Yanma,,Sesokitz
,,,,,,,,,,,Zebritz,,Sharfax
,,,,,,,,,,,Zirpeise,,Sheinux
,,,,,,,,,,,Zobiris,,Shnebedeck
,,,,,,,,,,,Zwirrfinst,,Shuppet
,,,,,,,,,,,Zwirrklop,,Skunkapuh
,,,,,,,,,,,,,Sleima
,,,,,,,,,,,,,Smogon
,,,,,,,,,,,,,Snubbull
,,,,,,,,,,,,,Sodamak
,,,,,,,,,,,,,Somniam
,,,,,,,,,,,,,Sonnkern
,,,,,,,,,,,,,Spoink
,,,,,,,,,,,,,Staralili
,,,,,,,,,,,,,Staravia
,,,,,,,,,,,,,Sterndu
,,,,,,,,,,,,,Stollrak
,,,,,,,,,,,,,Stollunior
,,,,,,,,,,,,,Strawickl
,,,,,,,,,,,,,Tanhel
,,,,,,,,,,,,,Tanza
,,,,,,,,,,,,,Tarnpignon
,,,,,,,,,,,,,Tauboga
,,,,,,,,,,,,,Taubsi
,,,,,,,,,,,,,Teddiursa
,,,,,,,,,,,,,Tentacha
,,,,,,,,,,,,,Terribark
,,,,,,,,,,,,,Togepi
,,,,,,,,,,,,,Tragosso
,,,,,,,,,,,,,Trasla
,,,,,,,,,,,,,Traumato
,,,,,,,,,,,,,Trompeck
,,,,,,,,,,,,,Tuska
,,,,,,,,,,,,,Ultrigaria
,,,,,,,,,,,,,Unratütox
,,,,,,,,,,,,,Vegimak
,,,,,,,,,,,,,Velursi
,,,,,,,,,,,,,Venicro
,,,,,,,,,,,,,Viscora
,,,,,,,,,,,,,Voltilamm
,,,,,,,,,,,,,Voltobal
,,,,,,,,,,,,,Vulpix
,,,,,,,,,,,,,Waaty
,,,,,,,,,,,,,Wablu
,,,,,,,,,,,,,Wadribie
,,,,,,,,,,,,,Wailmer
,,,,,,,,,,,,,Wattzapf
,,,,,,,,,,,,,Waumboll
,,,,,,,,,,,,,Waumpel
,,,,,,,,,,,,,Webarak
,,,,,,,,,,,,,Wiesor
,,,,,,,,,,,,,Wingull
,,,,,,,,,,,,,Woingenau
,,,,,,,,,,,,,Wommel
,,,,,,,,,,,,,Wonneira
,,,,,,,,,,,,,Wuffels
,,,,,,,,,,,,,Yorkleff
,,,,,,,,,,,,,Zapplalek
,,,,,,,,,,,,,Zapplardin
,,,,,,,,,,,,,Zigzachs
,,,,,,,,,,,,,Zirpurze
,,,,,,,,,,,,,Zorua
,,,,,,,,,,,,,Zubat
,,,,,,,,,,,,,Zurrokex
,,,,,,,,,,,,,Zwirrlicht
,,,,,,,,,,,,,Zwottronin
