#,Pokémon,Pokémon (dt.),,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Average,Ability 1,Ability 2,Ability 3,TIER,POINTS,,,,Momentum,Voltwechsel,Kehrtwende,Rollwende,Teleport,Abgangstirade,Stafette,Trick Room,Tail Wind,Hazards,Tarnsteine,Stachler,Giftspitzen,Klebenetz,Removal,Auflockern,Turbodreher,Seitenwechsel,Recovery,Wunschtraum,Genesung,Ruheort,Synthese,Tagedieb,Mondschein,Morgengrauen,Dschungelheilung,Heilbefehl,Milchgetränk,Sandsammler,Weichei,Prios,Turbotempo,Überrumpler,Tiefschlag,Mogelhieb,Turbofelsen,Tempohieb,Patronenhieb,Wasserdüse,Eissplitter,Schattenstoß,Ruckzuckhieb,Grasrutsche*,Wasser-Shuriken,Vakuumwelle,Gigasauger/Diebeskuss*,Screens,Auroraschleier,Reflektor,Lichtschild,Min Speed Lv 50,Max Speed Lv 50,Min Speed Lv 100,Max Speed Lv 100,Pokemon zusammen,Pokemon klein for Tampermonkey,"""",Schreibweise für Tampermonkey,Nightbot
50,Diglett-Alola,Alola-Digda,,,GROUND,STEEL,10,55,30,35,45,90,265,"44,17",Sand Veil,Tangling Hair,Sand Force,40,1,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,85,156,166,306,DiglettAlola,diglettalola,"""","[""pokemon"",""diglettalola""],",Alola-Digda # 
51,Dugtrio-Alola,Alola-Digdri,,,GROUND,STEEL,35,100,60,50,70,110,425,"70,83",Sand Veil,Tangling Hair,Sand Force,40,4,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,103,178,202,350,DugtrioAlola,dugtrioalola,"""","[""pokemon"",""dugtrioalola""],",Alola-Digdri # 
75,Graveler-Alola,Alola-Georok,,,ROCK,ELECTRIC,55,95,115,45,45,35,390,65,Magnet Pull,Sturdy,Galvanize,40,2,,,,1,ja,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,36,95,67,185,GravelerAlola,graveleralola,"""","[""pokemon"",""graveleralola""],",Alola-Georok # 
76,Golem-Alola,Alola-Geowaz,,,ROCK,ELECTRIC,80,120,130,55,65,45,495,"82,5",Magnet Pull,Sturdy,Galvanize,40,4,,,,1,ja,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,GolemAlola,golemalola,"""","[""pokemon"",""golemalola""],",Alola-Geowaz # 
74,Geodude-Alola,Alola-Kleinstein,,,ROCK,ELECTRIC,40,80,100,30,30,20,300,50,Magnet Pull,Sturdy,Galvanize,40,1,,,,1,ja,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,22,79,40,152,GeodudeAlola,geodudealola,"""","[""pokemon"",""geodudealola""],",Alola-Kleinstein # 
105,Marowak-Alola,Alola-Knogga,,,FIRE,GHOST,60,80,110,50,80,45,425,"70,83",Cursed Body,Lightning Rod,Rock Head,100,9,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,MarowakAlola,marowakalola,"""","[""pokemon"",""marowakalola""],",Alola-Knogga # 
103,Exeggutor-Alola,Alola-Kokowei,,,GRASS,DRAGON,95,105,85,125,75,45,530,"88,33",Frisk,,Harvest,40,4,,,,1,,,,ja,,,ja,,0,,,,,0,,,,3,ja,,,ja,,ja,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,106,85,207,ExeggutorAlola,exeggutoralola,"""","[""pokemon"",""exeggutoralola""],",Alola-Kokowei # 
52,Meowth-Alola,Alola-Mauzi,,,DARK,- -,40,35,35,50,40,90,290,"48,33",Pickup,Technician,Rattled,40,1,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,85,156,166,306,MeowthAlola,meowthalola,"""","[""pokemon"",""meowthalola""],",Alola-Mauzi # 
26,Raichu-Alola,Alola-Raichu,,,ELECTRIC,PSYCHIC,60,85,50,95,85,110,485,"80,83",Surge Surfer,,,40,5,,,,2,ja,,,ja,,,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,3,ja,,,ja,,,,,,,ja,,,,,,,,,103,178,202,350,RaichuAlola,raichualola,"""","[""pokemon"",""raichualola""],",Alola-Raichu # 
19,Rattata-Alola,Alola-Rattfratz,,,DARK,NORMAL,30,56,35,25,35,72,253,"42,17",Gluttony,Hustle,Thick Fat,40,1,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,2,,,ja,,,,,,,,ja,,,,,,,,,69,136,134,267,RattataAlola,rattataalola,"""","[""pokemon"",""rattataalola""],",Alola-Rattfratz # 
20,Raticate-Alola,Alola-Rattikarl,,,DARK,NORMAL,75,71,70,40,80,77,413,"68,83",Gluttony,Hustle,Thick Fat,40,3,,,,1,,ja,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,2,,,ja,,,,,,,,ja,,,,,,,,,73,141,143,278,RaticateAlola,raticatealola,"""","[""pokemon"",""raticatealola""],",Alola-Rattikarl # 
28,Sandslash-Alola,Alola-Sandamer,,,ICE,STEEL,75,100,120,25,65,65,450,75,Snow Cloak,,Slush Rush,40,4,,,,0,,,,,,,,,2,ja,ja,,,1,,ja,,0,,,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,,,,,63,128,121,251,SandslashAlola,sandslashalola,"""","[""pokemon"",""sandslashalola""],",Alola-Sandamer # 
27,Sandshrew-Alola,Alola-Sandan,,,ICE,STEEL,50,75,90,10,35,40,300,50,Snow Cloak,,Slush Rush,40,1,,,,0,,,,,,,,,1,ja,,,,1,,ja,,0,,,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,,,,,40,101,76,196,SandshrewAlola,sandshrewalola,"""","[""pokemon"",""sandshrewalola""],",Alola-Sandan # 
88,Grimer-Alola,Alola-Sleima,,,POISON,DARK,80,80,50,40,50,25,325,"54,17",Poison Touch,Gluttony,Power of Alchemy,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,ja,,,,,,,,,,27,84,49,163,GrimerAlola,grimeralola,"""","[""pokemon"",""grimeralola""],",Alola-Sleima # 
89,Muk-Alola,Alola-Sleimok,,,POISON,DARK,105,105,75,65,100,50,500,"83,33",Poison Touch,Gluttony,Power of Alchemy,120,13,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,ja,,,,,,,,,,49,112,94,218,MukAlola,mukalola,"""","[""pokemon"",""mukalola""],",Alola-Sleimok # 
53,Persian-Alola,Alola-Snobilikat,,,DARK,- -,65,60,60,75,65,115,440,"73,33",Fur Coat,Technician,Rattled,60,8,,,,2,,ja,,,ja,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,108,183,211,361,PersianAlola,persianalola,"""","[""pokemon"",""persianalola""],",Alola-Snobilikat # 
38,Ninetales-Alola,Alola-Vulnona,,,ICE,FAIRY,73,67,75,81,100,109,505,"84,17",Snow Cloak,,Snow Warning,120,11,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,ja,ja,,,102,177,200,348,NinetalesAlola,ninetalesalola,"""","[""pokemon"",""ninetalesalola""],",Alola-Vulnona # 
37,Vulpix-Alola,Alola-Vulpix,,,ICE,- -,38,41,40,50,65,65,299,"49,83",Snow Cloak,,Snow Warning,40,1,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,ja,,,,,,,ja,ja,,,63,128,121,251,VulpixAlola,vulpixalola,"""","[""pokemon"",""vulpixalola""],",Alola-Vulpix # 
93,Haunter,Alpollo,,,GHOST,POISON,45,50,45,115,55,95,405,"67,5",Levitate,,,40,3,,,,0,,,,,,,ja,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,90,161,175,317,Haunter,haunter,"""","[""pokemon"",""haunter""],",Alpollo # 
334,Altaria,Altaria,,,DRAGON,FLYING,75,70,90,70,105,80,490,"81,67",Natural Cure,,Cloud Nine,40,2,,,,0,,,,,,,,ja,0,,,,,1,ja,,,1,,,ja,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,76,145,148,284,Altaria,altaria,"""","[""pokemon"",""altaria""],",Altaria # 
699,Aurorus,Amagarga,,,ROCK,ICE,123,77,72,99,92,58,521,"86,83",Refrigerate,,Snow Warning,40,2,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,ja,ja,,,56,121,108,236,Aurorus,aurorus,"""","[""pokemon"",""aurorus""],",Amagarga # 
698,Amaura,Amarino,,,ROCK,ICE,77,59,50,67,63,46,362,"60,33",Refrigerate,,Snow Warning,40,1,,,,0,,,,,,,,,1,ja,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,ja,ja,,,45,107,87,210,Amaura,amaura,"""","[""pokemon"",""amaura""],",Amarino # 
424,Ambipom,Ambidiffel,,,NORMAL,- -,75,100,66,60,66,115,482,"80,33",Technician,Pickup,Skill Link,60,6,,,,2,,ja,,,,ja,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,108,183,211,361,Ambipom,ambipom,"""","[""pokemon"",""ambipom""],",Ambidiffel # 
758,Salazzle,Amfira,,,POISON,FIRE,68,64,60,111,60,117,480,80,Corrosion,,Oblivious,100,11,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,,ja,,,,,,,,,,,,,,,,109,185,215,366,Salazzle,salazzle,"""","[""pokemon"",""salazzle""],",Amfira # 
773,Silvally-Ground,Amigento-Boden,,,GROUND,- -,95,95,95,95,95,95,570,95,RKS System,,,60,9,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyGround,silvallyground,"""","[""pokemon"",""silvallyground""],",Amigento-Boden # 
773,Silvally-Dragon,Amigento-Drache,,,DRAGON,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyDragon,silvallydragon,"""","[""pokemon"",""silvallydragon""],",Amigento-Drache # 
773,Silvally-Ice,Amigento-Eis,,,ICE,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyIce,silvallyice,"""","[""pokemon"",""silvallyice""],",Amigento-Eis # 
773,Silvally-Electric,Amigento-Elektro,,,ELECTRIC,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyElectric,silvallyelectric,"""","[""pokemon"",""silvallyelectric""],",Amigento-Elektro # 
773,Silvally-Fairy,Amigento-Fee,,,FAIRY,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyFairy,silvallyfairy,"""","[""pokemon"",""silvallyfairy""],",Amigento-Fee # 
773,Silvally-Fire,Amigento-Feuer,,,FIRE,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyFire,silvallyfire,"""","[""pokemon"",""silvallyfire""],",Amigento-Feuer # 
773,Silvally-Flying,Amigento-Flug,,,FLYING,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyFlying,silvallyflying,"""","[""pokemon"",""silvallyflying""],",Amigento-Flug # 
773,Silvally-Ghost,Amigento-Geist,,,GHOST,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyGhost,silvallyghost,"""","[""pokemon"",""silvallyghost""],",Amigento-Geist # 
773,Silvally-Rock,Amigento-Gestein,,,ROCK,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyRock,silvallyrock,"""","[""pokemon"",""silvallyrock""],",Amigento-Gestein # 
773,Silvally-Poison,Amigento-Gift,,,POISON,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyPoison,silvallypoison,"""","[""pokemon"",""silvallypoison""],",Amigento-Gift # 
773,Silvally-Bug,Amigento-Käfer,,,BUG,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyBug,silvallybug,"""","[""pokemon"",""silvallybug""],",Amigento-Käfer # 
773,Silvally-Fighting,Amigento-Kampf,,,FIGHTING,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyFighting,silvallyfighting,"""","[""pokemon"",""silvallyfighting""],",Amigento-Kampf # 
773,Silvally,Amigento-Normal,,,NORMAL,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,Silvally,silvally,"""","[""pokemon"",""silvally""],",Amigento-Normal # 
773,Silvally-Grass,Amigento-Pflanze,,,GRASS,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyGrass,silvallygrass,"""","[""pokemon"",""silvallygrass""],",Amigento-Pflanze # 
773,Silvally-Psychic,Amigento-Psycho,,,PSYCHIC,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyPsychic,silvallypsychic,"""","[""pokemon"",""silvallypsychic""],",Amigento-Psycho # 
773,Silvally-Steel,Amigento-Stahl,,,STEEL,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallySteel,silvallysteel,"""","[""pokemon"",""silvallysteel""],",Amigento-Stahl # 
773,Silvally-Dark,Amigento-Unlicht,,,DARK,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyDark,silvallydark,"""","[""pokemon"",""silvallydark""],",Amigento-Unlicht # 
773,Silvally-Water,Amigento-Wasser,,,WATER,- -,95,95,95,95,95,95,570,95,RKS System,,,,,,,,2,,ja,,,ja,,,ja,0,,,,,1,ja,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,161,175,317,SilvallyWater,silvallywater,"""","[""pokemon"",""silvallywater""],",Amigento-Wasser # 
138,Omanyte,Amonitas,,,ROCK,WATER,35,40,100,90,55,35,355,"59,17",Swift Swim,Shell Armor,Weak Armor,40,1,,,,0,,,,,,,,,3,ja,ja,ja,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,36,95,67,185,Omanyte,omanyte,"""","[""pokemon"",""omanyte""],",Amonitas # 
139,Omastar,Amoroso,,,ROCK,WATER,70,60,125,115,70,55,495,"82,5",Swift Swim,Shell Armor,Weak Armor,60,6,,,,0,,,,,,,,,3,ja,ja,ja,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,54,117,103,229,Omastar,omastar,"""","[""pokemon"",""omastar""],",Amoroso # 
181,Ampharos,Ampharos,,,ELECTRIC,- -,90,75,85,115,90,55,510,85,Static,,Plus,40,3,,,,1,ja,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,54,117,103,229,Ampharos,ampharos,"""","[""pokemon"",""ampharos""],",Ampharos # 
657,Frogadier,Amphizel,,,WATER,- -,54,63,52,83,56,97,405,"67,5",Torrent,,Protean,40,3,,,,1,,ja,,,,,,,1,,,ja,,0,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,91,163,179,322,Frogadier,frogadier,"""","[""pokemon"",""frogadier""],",Amphizel # 
793,Nihilego,Anego,,,ROCK,POISON,109,53,47,127,131,103,570,95,Beast Boost,,,120,13,,,,0,,,,,,,ja,,2,ja,,ja,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,97,170,189,335,Nihilego,nihilego,"""","[""pokemon"",""nihilego""],",Anego # 
347,Anorith,Anorith,,,ROCK,BUG,45,95,50,40,50,75,355,"59,17",Battle Armor,,Swift Swim,40,1,,,,0,,,,,,,,,1,ja,,,,1,,ja,,0,,,,,,,,,,,,,1,,,,,,,,ja,,,,,,,,,,,,72,139,139,273,Anorith,anorith,"""","[""pokemon"",""anorith""],",Anorith # 
593,Jellicent,Apoquallyp,,,WATER,GHOST,100,60,70,85,105,60,480,80,Water Absorb,Cursed Body,Damp,60,8,,,,0,,,,,,,ja,,0,,,,,0,,,,1,,ja,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,58,123,112,240,Jellicent,jellicent,"""","[""pokemon"",""jellicent""],",Apoquallyp # 
134,Vaporeon,Aquana,,,WATER,- -,130,65,60,110,95,65,525,"87,5",Water Absorb,,Hydration,100,10,,,,2,,,ja,,,ja,,,0,,,,,0,,,,1,ja,,,,,,,,,,,,1,,,,,,,,,,,ja,,,,,,,,,63,128,121,251,Vaporeon,vaporeon,"""","[""pokemon"",""vaporeon""],",Aquana # 
752,Araquanid,Aranestro,,,WATER,BUG,68,70,92,50,132,42,454,"75,67",Water Bubble,,Water Absorb,60,10,,,,0,,,,,,,,,1,,,,ja,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,42,103,80,201,Araquanid,araquanid,"""","[""pokemon"",""araquanid""],",Aranestro # 
751,Dewpider,Araqua,,,WATER,BUG,38,40,52,40,72,27,269,"44,83",Water Bubble,,Water Absorb,40,1,,,,0,,,,,,,,,1,,,,ja,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,28,86,53,168,Dewpider,dewpider,"""","[""pokemon"",""dewpider""],",Araqua # 
24,Arbok,Arbok,,,POISON,- -,60,95,69,65,79,80,448,"74,67",Intimidate,Shed Skin,Unnerve,40,2,,,,0,,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,1,,,ja,,,,,,,,,,,,,,,,,76,145,148,284,Arbok,arbok,"""","[""pokemon"",""arbok""],",Arbok # 
723,Dartrix,Arboretoss,,,GRASS,FLYING,78,75,75,70,70,52,420,70,Overgrow,,Long Reach,40,2,,,,1,,,,,,ja,,,0,,,,,1,ja,,,2,,,ja,ja,,,,,,,,,2,,,ja,,,,,,,ja,,,,,,,,,,51,114,98,223,Dartrix,dartrix,"""","[""pokemon"",""dartrix""],",Arboretoss # 
493,Arceus,Arceus,,,NORMAL,- -,120,120,120,120,120,120,720,120,Multitype,,,BANNED,BANNED,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,Arceus,arceus,"""","[""pokemon"",""arceus""],",Arceus # 
493,Arceus-Ground,Arceus-Boden,,,GROUND,- -,120,120,120,120,120,120,720,120,Multitype,,,,,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,ArceusGround,arceusground,"""","[""pokemon"",""arceusground""],",Arceus-Boden # 
493,Arceus-Dragon,Arceus-Drache,,,DRAGON,- -,120,120,120,120,120,120,720,120,Multitype,,,,,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,ArceusDragon,arceusdragon,"""","[""pokemon"",""arceusdragon""],",Arceus-Drache # 
493,Arceus-Ice,Arceus-Eis,,,ICE,- -,120,120,120,120,120,120,720,120,Multitype,,,,,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,ArceusIce,arceusice,"""","[""pokemon"",""arceusice""],",Arceus-Eis # 
493,Arceus-Electric,Arceus-Elektro,,,ELECTRIC,- -,120,120,120,120,120,120,720,120,Multitype,,,,,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,ArceusElectric,arceuselectric,"""","[""pokemon"",""arceuselectric""],",Arceus-Elektro # 
493,Arceus-Fairy,Arceus-Fee,,,FAIRY,- -,120,120,120,120,120,120,720,120,Multitype,,,,,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,ArceusFairy,arceusfairy,"""","[""pokemon"",""arceusfairy""],",Arceus-Fee # 
493,Arceus-Fire,Arceus-Feuer,,,FIRE,- -,120,120,120,120,120,120,720,120,Multitype,,,,,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,ArceusFire,arceusfire,"""","[""pokemon"",""arceusfire""],",Arceus-Feuer # 
493,Arceus-Flying,Arceus-Flug,,,FLYING,- -,120,120,120,120,120,120,720,120,Multitype,,,,,,,,0,,,,,,,ja,ja,1,ja,,,,1,ja,,,1,,ja,,,,,,,,,,,1,ja,,,,,,,,,,,,,,,,,,,112,189,220,372,ArceusFlying,arceusflying,"""","[""pokemon"",""arceusflying""],",Arceus-Flug # 
