,2 Pokémon,,,3 Pokémon,,,3 Pokémon,,,1/2 Pokémon,,,1/2 Pokémon,,,,,,,,,,Pick,Tier,,Sortiert nach Alphabet,,,Gepickte Mons,Alphabetisch
,S-Tier,,,A-Tier,,,B-Tier,,,C-Tier,,,D-Tier,,,Trash,,,Gebannte Pokémon,,,,Alola-Vulnona,S-Tier,,Abra,Trash,Team 1,Wulaosu-Fließend,Alola-Snobilikat
,,Alola-Vulnona,,,Aggrostella,,,Aerodactyl,,,Aeropteryx,,,Absol,,,Abra,,,Agoyon,,,Boreos-T,S-Tier,,Absol,D-Tier,,Knakrack,Amfira
,,Boreos-T,,,Alola-Knogga,,,Alola-Raichu,,,Alola-Kokowei,,,Alola-Digdri,,,Akkup,,,Coronospa (Rappenreiter),,,Demeteros-T,S-Tier,,Aerodactyl,B-Tier,,Primarene,Amigento-Stahl
,,Demeteros-T,,,Anego,,,Amfira,,,Alola-Sandamer,,,Alola-Vulpix,,,Algitt,,,Coronospa (Schimmelreiter),,,Despotar,S-Tier,,Aeropteryx,C-Tier,,Galar-Lavados,Azumarill
,,Despotar,,,Arkani,,,Amigento-Normal,,,Alola-Snobilikat,,,Alpollo,,,Alola-Digda,,,Dialga,,,Galar-Flampivian,S-Tier,,Aggrostella,A-Tier,,Gengar,Bissbark
,,Galar-Flampivian,,,Azumarill,,,Aranestro,,,Amigento-Disc,,,Altaria,,,Alola-Mauzi,,,Endynalos,,,Galar-Zapdos,S-Tier,,Agoyon,Ban,,Elfun,Boreos-T
,,Galar-Zapdos,,,Bisaflor,,,Austos,,,Amoroso,,,Amagarga,,,Alola-Sandan,,,Genesect,,,Gortrom,S-Tier,,Akkup,Trash,,Wolwerock-Zwielicht,Branawarz
,,Gortrom,,,Boreos-I,,,Bandelby,,,Apoquallyp,,,Arboretoss,,,Amarino,,,Giratina,,,Heatran,S-Tier,,Algitt,Trash,,Panzaeron,Britzigel
,,Heatran,,,Brockoloss,,,Barrakiefa,,,Aquana,,,Arktilas,,,Amonitas,,,Giratina-Ursprung,,,Hutsassa,S-Tier,,Alola-Digda,Trash,,Raichu,Brockoloss
,,Hutsassa,,,Brutalanda,,,Barrikadax,,,Baldorfish,,,Arktos,,,Anorith,,,Groudon,,,Kaguron,S-Tier,,Alola-Digdri,D-Tier,,Vesprit,Bronzong
,,Kaguron,,,Cresselia,,,Branawarz,,,Bissbark,,,Armaldo,,,Araqua,,,Ho-Oh,,,Kapu-Kime,S-Tier,,Alola-Knogga,A-Tier,,Tortunator,Curelei
,,Kapu-Kime,,,Demeteros-I,,,Caesurio,,,Bronzong,,,Bähmon,,,Arktip,,,Jirachi,,,Kapu-Riki,S-Tier,,Alola-Kokowei,C-Tier,Team 2,Katapuldra,Demeteros-I
,,Kapu-Riki,,,Diancie,,,Cavalanzas,,,Chillabell,,,Barschuft,,,Azurill,,,Katagami,,,Katapuldra,S-Tier,,Alola-Mauzi,Trash,,Boreos-T,Demeteros-T
,,Katapuldra,,,Dragoran,,,Celebi,,,Chimstix,,,Bellektro,,,Balgoras,,,Kyogre,,,Knakrack,S-Tier,,Alola-Raichu,B-Tier,,Pelipper,Donarion
,,Knakrack,,,Durengard,,,Cerapendra,,,Donarion,,,Bisofank,,,Barschwa,,,Kyurem-Schwarz,,,Kyurem,S-Tier,,Alola-Sandamer,C-Tier,,Azumarill,Durengard
,,Kyurem,,,Entei,,,Chaneira,,,Dressella,,,Blitza,,,Bauz,,,Kyurem-Weiß,,,Latias,S-Tier,,Alola-Sandan,Trash,,Rabigator,Elfun
,,Latias,,,Feelinara,,,Clavion,,,Drifzepeli,,,Blubella,,,Bisaknosp,,,Lugia,,,Latios,S-Tier,,Alola-Snobilikat,C-Tier,,Galar-Lahmus,Entei
,,Latios,,,Fuegro,,,Curelei,,,Duokles,,,Botogel,,,Bisasam,,,Lunala,,,Lectragon,S-Tier,,Alola-Vulnona,S-Tier,,Viscogon,Feelinara
,,Lectragon,,,Galar-Laschoking,,,Ditto,,,Duraludon,,,Britzigel,,,Bithora,,,Magearna,,,Necrozma,S-Tier,,Alola-Vulpix,D-Tier,,Wie-Shu,Fruyal
,,Necrozma,,,Galar-Lavados,,,Echnatoll,,,Elezard,,,Calamanero,,,Blanas,,,Marshadow,,,Pixi,S-Tier,,Alpollo,D-Tier,,Amigento-Stahl,Fuegro
,,Pixi,,,Galar-Smogmog,,,Elfun,,,Elevoltek,,,Castellith,,,Brimano,,,Melmetal,,,Porygon2,S-Tier,,Altaria,D-Tier,,Kappalores,Galar-Lahmus
,,Porygon2,,,Garados,,,Fermicula,,,Fiaro,,,Colossand,,,Brimova,,,Mew,,,Qurtel,S-Tier,,Amagarga,D-Tier,,Britzigel,Galar-Lavados
,,Qurtel,,,Gengar,,,Flampivian,,,Frosdedje,,,Corasonn,,,Bronzel,,,Mewtu,,,Ramoth,S-Tier,,Amarino,Trash,Team 3,Terrakium,Gastrodon
,,,,,Rotom-Heat,,,Panzaeron,,,Patinaraja,,,Gaunux,,,Fluffeluff,,,,,,Galar-Laschoking,A-Tier,,Arboretoss,D-Tier,,Smogmog,Pantimos,Grypheldis
,,,,,Rotom-Wash,,,Piepi,,,Pescryodon,,,Gewaldro,,,Flurmel,,,,,,Galar-Lavados,A-Tier,,Arceus-Boden,Ban,,Kicklee,Panzaeron,Guardevoir
,,,,,Scherox,,,Polaross,,,Piondragi,,,Golbat,,,Frizelbliz,,,,,,Galar-Smogmog,A-Tier,,Arceus-Drache,Ban,,Schlurplek,Pelipper,Heatran
,,,,,Seedraking,,,Porygon-Z,,,Pokusan,,,Golking,,,Frubaila,,,,,,Garados,A-Tier,,Arceus-Eis,Ban,,Voltenso,Piepi,Iksbat
,,,,,Servol-W,,,Quartermak,,,Psiana,,,Gufa,,,Frubberl,,,,,,Gengar,A-Tier,,Arceus-Elektro,Ban,Team 6,Zeraora,Piondragi,Kappalores
,,,,,Silembrim,,,Regidrago,,,Psiaugon-männlich,,,Hippopotas,,,Fukano,,,,,,Grandiras,A-Tier,,Arceus-Fee,Ban,,Kapu-Kime,Primarene,Kapu-Kime
,,,,,Simsala,,,Regigigas,,,Pumpdjinn,,,Honweisel,,,Galapaflos,,,,,,Grebbit,A-Tier,,Arceus-Feuer,Ban,,Scherox,Quartermak,Kapu-Riki
,,,,,Skelabra,,,Registeel,,,Raichu,,,Humanolith,,,Galar-Flampion,,,,,,Hippoterus,A-Tier,,Arceus-Flug,Ban,,Demeteros-I,Rabigator,Katapuldra
,,,,,Suicune,,,Riffex-Hoch,,,Regirock,,,Jiutesto,,,Galar-Flegmon,,,,,,Kapu-Fala,A-Tier,,Arceus-Geist,Ban,,Volcanion,Raichu,Keldeo
,,,,,Tangoloss,,,Riffex-Tief,,,Rexblisar,,,Jungglut,,,Galar-Makabaja,,,,,,Kapu-Toro,A-Tier,,Arceus-Gestein,Ban,,Zarude,Raikou,Kicklee
,,,,,Trikephalo,,,Rihornior,,,Rizeros,,,Kabutops,,,Galar-Mauzi,,,,,,Keldeo,A-Tier,,Arceus-Gift,Ban,,UHaFnir,Riffex-Hoch,Knakrack
,,,,,Turtok,,,Roserade,,,Rotom,,,Kadabra,,,Galar-Ponita,,,,,,Kobalium,A-Tier,,Arceus-Käfer,Ban,,Nidoqueen,Roserade,Krarmor
,,,,,Volcanion,,,Rotom-Mow,,,Sabbaione,,,Kaocto,,,Galar-Porenta,,,,,,Kopplosio,A-Tier,,Arceus-Kampf,Ban,,Bronzong,Scherox,Kyurem
,,,,,Voltolos-T,,,Selfe,,,Sanaconda,,,Karippas,,,Galar-Zigzachs,,,,,,Krarmor,A-Tier,,Arceus-Pflanze,Ban,,Pantimos,Schlurplek,Lahmus
,,,,,Vulnona,,,Servol-M,,,Schillok,,,Kastadur,,,Ganovil,,,,,,Lahmus,A-Tier,,Arceus-Psycho,Ban,,Miltank,Selfe,Latias
,,,,,Zytomega,,,Skaraborn,,,Schlingking,,,Kickerlo,,,Garstella,,,,,,Laschoking,A-Tier,,Arceus-Stahl,Ban,Team 7,Demeteros-T,Skuntank,Latios
,,,,,,,,Smogmog,,,Sen-Long,,,Kingler,,,Geckarbor,,,,,,Liberlo,A-Tier,,Arceus-Unlicht,Ban,,Latios,Smogmog,Liberlo
,,,,,,,,Starmie,,,Shardrago,,,Kinoso,,,Gelatini,,,,,,Mamutel,A-Tier,,Arceus-Wasser,Ban,,Liberlo,Sniebel,Masskito
,,,,,,,,Sumpex,,,Sichlor,,,Klikdiklak,,,Gelatroppo,,,,,,Masskito,A-Tier,,Arkani,A-Tier,,Meistagrif,Somnivora,Meistagrif
,,,,,,,,Symvolara,,,Silvarro,,,Kliklak,,,Geronimatz,,,,,,Maxax,A-Tier,,Arktilas,D-Tier,,Krarmor,Stalobor,Metagross
,,,,,,,,Tandrak,,,Sniebel,,,Knarksel,,,Gladiantri,,,,,,Meistagrif,A-Tier,,Arktip,Trash,,Milotic,Terrakium,Milotic
,,,,,,,,Tectass,,,Stahlos,,,Knogga,,,Glibunkel,,,,,,Metagross,A-Tier,,Arktos,D-Tier,,Riffex-Hoch,Togedemaru,Miltank
,,,,,,,,Tentoxa,,,Tangela,,,Knuddeluff,,,Glumanda,,,,,,Mimigma,A-Tier,,Armaldo,D-Tier,,Piepi,Tortunator,Nidoqueen
,,,,,,,,Tobutz,,,Tauros,,,Kokowei,,,Glutexo,,,,,,Muramura,A-Tier,,Austos,B-Tier,,Piondragi,Trikephalo,Ohrdoch
,,,,,,,,Typ:Null,,,Thanathora,,,Kryppuk,,,Golbit,,,,,,Nidoking,A-Tier,,Azumarill,A-Tier,,Togedemaru,Trombork,Pantimos
,,,,,,,,UHaFnir,,,Togedemaru,,,Kubuin,,,Goldini,,,,,,Olangaar,A-Tier,,Azurill,Trash,,Somnivora,UHaFnir,Panzaeron
,,,,,,,,Viscogon,,,Togetic,,,Lamellux,,,Gramokles,,,,,,Pelipper,A-Tier,,Bähmon,D-Tier,Team 8,Gortrom,Vesprit,Pelipper
,,,,,,,,Voltriant,,,Tohaido,,,Lapras,,,Grolldra,,,,,,Primarene,A-Tier,,Baldorfish,C-Tier,,Heatran,Viscogon,Piepi
,,,,,,,,Washakwil,,,Toxiquak,,,Legios,,,Haspiror,,,,,,Quaxo,A-Tier,,Balgoras,Trash,,Grebbit,Volcanion,Piondragi
,,,,,,,,Wie-Shu,,,Vesprit,,,Lepumentas,,,Hokumil,,,,,,Rabigator,A-Tier,,Bandelby,B-Tier,,Keldeo,Voltenso,Primarene
,,,,,,,,Wolwerock-Zwielicht,,,Viridium,,,Lunastein,,,Hoothoot,,,,,,Raikou,A-Tier,,Barrakiefa,B-Tier,,Raikou,Wie-Shu,Quartermak
,,,,,,,,Zarude,,,Voltula,,,Lusardin,,,Hopplo,,,,,,Regieleki,A-Tier,,Barrikadax,B-Tier,,Iksbat,Wolwerock-Zwielicht,Rabigator
,,,,,,,,Zoroark,,,Wolwerock-Nacht,,,Luxtra,,,Hydropi,,,,,,Relaxo,A-Tier,,Barschuft,D-Tier,,Selfe,Wulaosu-Fließend,Raichu
,,,,,,,,Zwirrklop,,,Wolwerock-Tagform,,,Magmar,,,Hypnomorba,,,,,,Rotom-Heat,A-Tier,,Barschwa,Trash,,Curelei,Zapdos,Raikou
,,,,,,,,Zygarde-10%,,,Zobiris,,,Mampfaxo,,,Ignivor,,,,,,Rotom-Wash,A-Tier,,Bauz,Trash,,Zobiris,Zarude,Riffex-Hoch
,,,,,,,,,,,Zwirrfinst,,,Mantidea,,,Imantis,,,,,,Scherox,A-Tier,,Bellektro,D-Tier,,Sniebel,Zeraora,Roserade
,,,,,,,,,,,,,,Maracamba,,,Irrbis,,,,,,Seedraking,A-Tier,,Bisaflor,A-Tier,,Skuntank,Zobiris,Scherox
,,,,,,,,,,,,,,Maritellit,,,Iscalar,,,,,,Servol-W,A-Tier,,Bisaknosp,Trash,,,,Schlurplek
,,,,,,,,,,,,,,Maschock,,,Isso,,,,,,Silembrim,A-Tier,,Bisasam,Trash,,,,Selfe
,,,,,,,,,,,,,,Mauzinger,,,Kabuto,,,,,,Simsala,A-Tier,,Bisofank,D-Tier,,,,Skuntank
,,,,,,,,,,,,,,Megalon,,,Kamehaps,,,,,,Skelabra,A-Tier,,Bissbark,C-Tier,,,,Smogmog
,,,,,,,,,,,,,,Metang,,,Kanivanha,,,,,,Suicune,A-Tier,,Bithora,Trash,,,,Sniebel
,,,,,,,,,,,,,,Mitodos,,,Kapuno,,,,,,Tangoloss,A-Tier,,Blanas,Trash,,,,Somnivora
,,,,,,,,,,,,,,Mogelbaum,,,Karpador,,,,,,Trikephalo,A-Tier,,Blitza,D-Tier,,,,Stalobor
,,,,,,,,,,,,,,Montecarbo,,,Kaumalat,,,,,,Turtok,A-Tier,,Blubella,D-Tier,,,,Terrakium
,,,,,,,,,,,,,,Morbitesse,,,Keradar,,,,,,Volcanion,A-Tier,,Boreos-I,A-Tier,,,,Togedemaru
,,,,,,,,,,,,,,Morpeko,,,Kiesling,,,,,,Voltolos-T,A-Tier,,Boreos-T,S-Tier,,,,Tortunator
,,,,,,,,,,,,,,Mottineva,,,Kikugi,,,,,,Vulnona,A-Tier,,Botogel,D-Tier,,,,Trikephalo
,,,,,,,,,,,,,,Ninjask,,,Kindwurm,,,,,,Zytomega,A-Tier,,Branawarz,B-Tier,,,,Trombork
,,,,,,,,,,,,,,Ninjatom,,,Kirlia,,,,,,Aerodactyl,B-Tier,,Brimano,Trash,,,,UHaFnir
,,,,,,,,,,,,,,Nockchan,,,Kleptifux,,,,,,Alola-Raichu,B-Tier,,Brimova,Trash,,,Amigento-Disc,Vesprit
,,,,,,,,,,,,,,Noctuh,,,Klikk,,,,,,Amfira,B-Tier,,Britzigel,D-Tier,,,,Viscogon
,,,,,,,,,,,,,,Octillery,,,Klonkett,,,,,,Amigento-Normal,B-Tier,,Brockoloss,A-Tier,,,,Volcanion
,,,,,,,,,,,,,,Oghnatoll,,,Klopptopus,,,,,,Aranestro,B-Tier,,Bronzel,Trash,,,,Voltenso
,,,,,,,,,,,,,,Ohrdoch,,,Knacklion,,,,,,Austos,B-Tier,,Bronzong,C-Tier,,,,Wie-Shu
,,,,,,,,,,,,,,Pampuli,,,Knapfel,,,,,,Bandelby,B-Tier,,Brutalanda,A-Tier,,,,Wolwerock-Zwielicht
,,,,,,,,,,,,,,Pantifrost,,,Knospi,,,,,,Barrakiefa,B-Tier,,Bubungus,Trash,,,,Wulaosu-Fließend
,,,,,,,,,,,,,,Pantimos,,,Krabby,,,,,,Barrikadax,B-Tier,,Caesurio,B-Tier,,,,Zapdos
,,,,,,,,,,,,,,Pelzebub,,,Krakeelo,,,,,,Branawarz,B-Tier,,Calamanero,D-Tier,,,,Zarude
,,,,,,,,,,,,,,Pikachu,,,Kranoviz,,,,,,Caesurio,B-Tier,,Castellith,D-Tier,,,,Zeraora
,,,,,,,,,,,,,,Pinsir,,,Krebscorps,,,,,,Cavalanzas,B-Tier,,Cavalanzas,B-Tier,,,,Zobiris
,,,,,,,,,,,,,,Porenta,,,Kupfanti,,,,,,Celebi,B-Tier,,Celebi,B-Tier
,,,,,,,,,,,,,,Pottrott,,,Kussilla,,,,,,Cerapendra,B-Tier,,Cerapendra,B-Tier
,,,,,,,,,,,,,,Psiaugon-weiblich,,,Lampi,,,,,,Chaneira,B-Tier,,Chaneira,B-Tier
,,,,,,,,,,,,,,Quappo,,,Larvitar,,,,,,Clavion,B-Tier,,Chillabell,C-Tier
,,,,,,,,,,,,,,Regice,,,Laternecto,,,,,,Curelei,B-Tier,,Chimpep,Trash
,,,,,,,,,,,,,,Relicanth,,,Laukaps,,,,,,Ditto,B-Tier,,Chimstix,C-Tier
,,,,,,,,,,,,,,Riolu,,,Lichtel,,,,,,Echnatoll,B-Tier,,Clavion,B-Tier
,,,,,,,,,,,,,,Rocara,,,Liliep,,,,,,Elfun,B-Tier,,Colossand,D-Tier
,,,,,,,,,,,,,,Rokkaiman,,,Lilminip,,,,,,Fermicula,B-Tier,,Corasonn,D-Tier
,,,,,,,,,,,,,,Rollum,,,Lin-Fu,,,,,,Flampivian,B-Tier,,Coronospa,D-Tier
,,,,,,,,,,,,,,Roselia,,,Lithomith,,,,,,Fruyal,B-Tier,,Coronospa (Rappenreiter),Ban
,,,,,,,,,,,,,,Rossana,,,Lombrero,,,,,,Galar-Lahmus,B-Tier,,Coronospa (Schimmelreiter),Ban
,,,,,,,,,,,,,,Rotom-Fan,,,Loturzel,,,,,,Gastrodon,B-Tier,,Cosmog,Trash
,,,,,,,,,,,,,,Rotom-Frost,,,Luxio,,,,,,Gelatwino,B-Tier,,Cosmovum,Trash
,,,,,,,,,,,,,,Sandamer,,,Mabula,,,,,,Grypheldis,B-Tier,,Cottini,Trash
,,,,,,,,,,,,,,Schlapfel,,,Machollo,,,,,,Guardevoir,B-Tier,,Cottomi,D-Tier
,,,,,,,,,,,,,,Schlapor,,,Magby,,,,,,Heiteira,B-Tier,,Cresselia,A-Tier
,,,,,,,,,,,,,,Schlaraffel,,,Magnetilo,,,,,,Iksbat,B-Tier,,Curelei,B-Tier
