

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team
67,Kicklee,,9,5,"0,56",0,,2,0,,3,0,0,,0,,,,,,Royal Bluff
67,Mamutel,,9,5,"0,56",2,,0,0,0,0,3,,,,,,,,,Voltwizards
67,Viscogon,,9,5,"0,56",,,,,,,,1,,1,0,1,2,0,,Soulblaze
70,Kaguron,,10,5,"0,50",1,3,,0,0,0,1,,,,,,,,,Scherzkekse
71,Scherox,,12,5,"0,42",0,2,2,0,1,0,,0,,,,0,,0,,Victory Instinct
72,Vesprit,,13,5,"0,38",1,,0,0,1,1,0,1,,,0,0,1,0,,Akatsuki Amphibianz
73,Amigento-Normal,,6,4,"0,67",,1,,,3,0,0,,,,,,,,,Toon World
74,Boreos-T,,8,4,"0,50",,,,,,,,2,1,0,1,0,,,,Soulblaze
74,Togekiss,,8,4,"0,50",,,0,1,2,0,1,,,,,,,,,Fen and Gator
76,Celebi,,9,4,"0,44",1,3,0,0,0,0,0,,,,,,,,,Fen and Gator
76,Smogmog,,9,4,"0,44",,,,,,,,,0,0,2,1,0,1,,Royal Bluff
78,Smogmog,,10,4,"0,40",1,0,0,0,3,0,0,,,,,,,,,Fen and Gator
79,Panzaeron,,16,4,"0,25",2,0,1,,0,1,,0,0,0,0,,0,0,,Akatsuki Amphibianz
80,Schlaraffel,,3,3,"1,00",0,,2,,,,1,,,,,,,,,Akatsuki Amphibianz
81,Lavados,,4,3,"0,75",,,2,1,,0,,,,,,,,,,Soulblaze
81,Voltenso,,4,3,"0,75",,,,,,,,,0,,1,2,0,,,Royal Bluff
83,Tortunator,,6,3,"0,50",,,,,,,,1,1,1,0,0,0,,,Akatsuki Amphibianz
83,Viridium,,6,3,"0,50",0,1,1,0,1,,,,,,,,,,,Toon World
85,Gorgasonn,,7,3,"0,43",,,,,,,,0,0,1,1,0,1,0,,Fen and Gator
85,Hutsassa,,7,3,"0,43",0,,0,3,0,0,,,,,,,,,,Soulblaze
85,Pantimos,,7,3,"0,43",,1,,,,0,,,1,0,1,0,,0,,Victory Instinct
88,Gengar,,8,3,"0,38",,,,,,,,0,1,0,0,,1,1,,Akatsuki Amphibianz
89,Alola-Snobilikat,,12,3,"0,25",0,0,0,0,,,0,0,3,0,0,,,0,,Fen and Gator
89,Piepi,,12,3,"0,25",0,,,1,0,0,0,0,0,,2,,0,0,,Scherzkekse
91,Miltank,,3,2,"0,67",,,,,,,,,1,0,,,1,,,Victory Instinct
92,Irokex,,4,2,"0,50",,,1,0,1,,0,,,,,,,,,Victory Instinct
92,Porygon-Z,,4,2,"0,50",0,,0,,,,2,,,,,,,,,Scherzkekse
94,Alola-Raichu,,5,2,"0,40",,0,0,,0,2,,,,,,,,,,Soulblaze
95,Arkani,,6,2,"0,33",0,0,,0,,2,,,,,,,,,,Akatsuki Amphibianz
96,Zobiris,,7,2,"0,29",0,0,,2,0,,,,,,0,0,0,,,Voltwizards
97,Krarmor,,8,2,"0,25",,,,,,,,0,1,1,0,0,0,0,,Scherzkekse
97,Schlurplek,,8,2,"0,25",0,,0,0,0,,,,,,1,1,,,,Royal Bluff
99,Selfe,,9,2,"0,22",,,,,,,,0,0,0,1,1,0,0,,Voltwizards
100,Elfun,,14,2,"0,14",0,0,,0,0,0,0,2,0,0,0,0,0,0,,Akatsuki Amphibianz
101,Blitza,,1,1,"1,00",,,,,,,1,,,,,,,,,Fen and Gator
101,Morbitesse,,1,1,"1,00",,,,,1,,,,,,,,,,,Voltwizards
103,Amigento-Stahl,,2,1,"0,50",,,,,,,,,,,,1,,,,Soulblaze
104,Sniebel,,3,1,"0,33",,,,,,,,1,,0,,,0,,,Voltwizards
105,Olangaar,,4,1,"0,25",,0,1,0,,,0,,,,,,,,,Akatsuki Amphibianz
105,Roserade,,4,1,"0,25",,,,,,,,0,,,1,0,0,,,Fen and Gator
107,Bissbark,,6,1,"0,17",,,,,,,,1,0,,,,0,0,,Toon World
108,Britzigel,,7,1,"0,14",,1,0,,,0,,0,,,,0,,,,Soulblaze
109,Kabutops,,2,0,"0,00",,,,,,0,,,,,,,,,,Scherzkekse
109,Kangama,,4,0,"0,00",,0,0,,0,,0,,,,,,,,,Voltwizards
109,Keifel,,2,0,"0,00",,,,,0,,0,,,,,,,,,Royal Bluff
109,Ohrdoch,,8,0,"0,00",0,,,0,0,0,,,,,,0,0,0,,Fen and Gator
109,Quartermak,,4,0,"0,00",,,,,,,,0,0,0,0,,,,,Toon World
109,Rotom,,2,0,"0,00",,,0,,,,0,,,,,,,,,Victory Instinct
109,Skuntank,,6,0,"0,00",,,,,,,,0,0,0,0,0,,,,Voltwizards
109,,,0,0,,,,,,,,,,,,,,,,,Akatsuki Amphibianz
109,,,0,0,,,,,,,,,,,,,,,,,Royal Bluff
109,,,0,0,,,,,,,,,,,,,,,,,Toon World
109,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct
109,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct

,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Logo,Team,Rating
20,Wulaosu-Fließend,,17,17,"1,00",,3,0,2,3,1,2,2,,0,1,2,,1,,Akatsuki Amphibianz,"17,001"
18,Knakrack,,25,19,"0,76",2,2,1,1,1,0,1,2,3,0,0,2,2,2,,Akatsuki Amphibianz,"19,00076"
13,Primarene,,18,20,"1,11",4,2,0,,3,0,5,0,0,1,0,0,0,5,,Akatsuki Amphibianz,"20,00111111"
39,Galar-Lavados,,8,10,"1,25",,,,,,,,,4,3,,2,1,0,,Akatsuki Amphibianz,"10,00125"
88,Gengar,,8,3,"0,38",,,,,,,,0,1,0,0,,1,1,,Akatsuki Amphibianz,"3,000375"
100,Elfun,,14,2,"0,14",0,0,,0,0,0,0,2,0,0,0,0,0,0,,Akatsuki Amphibianz,"2,000142857"
15,Wolwerock-Zwielicht,,18,19,"1,06",1,1,6,1,1,0,0,1,2,1,2,2,0,1,,Akatsuki Amphibianz,"19,00105556"
79,Panzaeron,,16,4,"0,25",2,0,1,,0,1,,0,0,0,0,,0,0,,Akatsuki Amphibianz,"4,00025"
61,Raichu,,12,6,"0,50",2,0,,2,0,,0,,1,1,,0,,0,,Akatsuki Amphibianz,"6,0005"
72,Vesprit,,13,5,"0,38",1,,0,0,1,1,0,1,,,0,0,1,0,,Akatsuki Amphibianz,"5,000384615"
83,Tortunator,,6,3,"0,50",,,,,,,,1,1,1,0,0,0,,,Akatsuki Amphibianz,"3,0005"
105,Olangaar,,4,1,"0,25",,0,1,0,,,0,,,,,,,,,Akatsuki Amphibianz,"1,00025"
80,Schlaraffel,,3,3,"1,00",0,,2,,,,1,,,,,,,,,Akatsuki Amphibianz,"3,001"
95,Arkani,,6,2,"0,33",0,0,,0,,2,,,,,,,,,,Akatsuki Amphibianz,"2,000333333"
109,,,0,0,,,,,,,,,,,,,,,,,Akatsuki Amphibianz,0
32,Terrakium,,13,12,"0,92",3,0,,0,3,,,0,2,2,,1,,1,,Fen and Gator,"12,00092308"
45,Zapdos,,14,9,"0,64",,,,,,,,1,3,1,0,0,0,4,,Fen and Gator,"9,000642857"
36,Trikephalo,,14,11,"0,79",0,,0,2,,2,3,,0,3,0,0,1,0,,Fen and Gator,"11,00078571"
8,Metagross,,22,23,"1,05",0,2,2,1,0,2,2,,4,1,0,4,1,4,,Fen and Gator,"23,00104545"
20,Entei,,17,17,"1,00",0,1,0,4,0,1,1,0,0,2,2,,6,,,Fen and Gator,"17,001"
26,Gastrodon,,17,15,"0,88",0,1,0,0,2,6,,1,,0,2,1,2,,,Fen and Gator,"15,00088235"
105,Roserade,,4,1,"0,25",,,,,,,,0,,,1,0,0,,,Fen and Gator,"1,00025"
34,Guardevoir,,12,11,"0,92",,,,,,,,1,0,2,2,4,1,1,,Fen and Gator,"11,00091667"
89,Alola-Snobilikat,,12,3,"0,25",0,0,0,0,,,0,0,3,0,0,,,0,,Fen and Gator,"3,00025"
109,Ohrdoch,,8,0,"0,00",0,,,0,0,0,,,,,,0,0,0,,Fen and Gator,0
85,Gorgasonn,,7,3,"0,43",,,,,,,,0,0,1,1,0,1,0,,Fen and Gator,"3,000428571"
74,Togekiss,,8,4,"0,50",,,0,1,2,0,1,,,,,,,,,Fen and Gator,"4,0005"
76,Celebi,,9,4,"0,44",1,3,0,0,0,0,0,,,,,,,,,Fen and Gator,"4,000444444"
78,Smogmog,,10,4,"0,40",1,0,0,0,3,0,0,,,,,,,,,Fen and Gator,"4,0004"
101,Blitza,,1,1,"1,00",,,,,,,1,,,,,,,,,Fen and Gator,"1,001"
6,Kapu-Riki,,25,24,"0,96",0,1,0,3,0,2,0,3,2,4,4,1,2,2,,Royal Bluff,"24,00096"
6,Latias,,25,24,"0,96",0,3,,4,0,2,3,1,2,2,2,3,2,0,,Royal Bluff,"24,00096"
58,Fuegro,,20,7,"0,35",0,1,2,,1,0,1,0,1,0,,1,0,0,,Royal Bluff,"7,00035"
26,Durengard,,17,15,"0,88",1,1,,1,1,0,1,3,,2,2,0,1,2,,Royal Bluff,"15,00088235"
59,Masskito,,7,6,"0,86",,,,,,,,3,1,1,0,1,,,,Royal Bluff,"6,000857143"
46,Branawarz,,18,9,"0,50",1,2,0,0,1,1,,0,0,,0,0,1,3,,Royal Bluff,"9,0005"
44,Fruyal,,13,9,"0,69",,1,1,0,,0,2,2,,,,2,,1,,Royal Bluff,"9,000692308"
76,Smogmog,,9,4,"0,44",,,,,,,,,0,0,2,1,0,1,,Royal Bluff,"4,000444444"
67,Kicklee,,9,5,"0,56",0,,2,0,,3,0,0,,0,,,,,,Royal Bluff,"5,000555556"
97,Schlurplek,,8,2,"0,25",0,,0,0,0,,,,,,1,1,,,,Royal Bluff,"2,00025"
81,Voltenso,,4,3,"0,75",,,,,,,,,0,,1,2,0,,,Royal Bluff,"3,00075"
109,Keifel,,2,0,"0,00",,,,,0,,0,,,,,,,,,Royal Bluff,0
52,Mimigma,,4,7,"1,75",3,2,2,0,,,,,,,,,,,,Royal Bluff,"7,00175"
109,,,0,0,,,,,,,,,,,,,,,,,Royal Bluff,0
59,Cerapendra,,7,6,"0,86",,1,1,0,1,0,3,,,,,,,,,Royal Bluff,"6,000857143"
16,Demeteros-T,,23,19,"0,83",3,2,2,2,1,1,4,0,,1,0,1,1,1,,Scherzkekse,"19,00082609"
34,Latios,,12,11,"0,92",,,,,,,,2,2,0,3,3,0,1,,Scherzkekse,"11,00091667"
14,Liberlo,,20,20,"1,00",3,0,3,4,2,2,,1,,,3,1,1,0,,Scherzkekse,"20,001"
23,Meistagrif,,12,16,"1,33",,3,2,3,3,0,,,3,2,,,0,,,Scherzkekse,"16,00133333"
97,Krarmor,,8,2,"0,25",,,,,,,,0,1,1,0,0,0,0,,Scherzkekse,"2,00025"
17,Milotic,,24,19,"0,79",3,0,2,1,1,,0,3,2,2,2,0,0,3,,Scherzkekse,"19,00079167"
42,Riffex-Hoch,,6,9,"1,50",,,,,,,,,1,1,,2,4,1,,Scherzkekse,"9,0015"
89,Piepi,,12,3,"0,25",0,,,1,0,0,0,0,0,,2,,0,0,,Scherzkekse,"3,00025"
43,Piondragi,,9,9,"1,00",1,,1,,0,,4,1,,,1,0,,1,,Scherzkekse,"9,001"
55,Togedemaru,,13,7,"0,54",1,1,1,,0,1,1,1,1,0,,0,0,0,,Scherzkekse,"7,000538462"
65,Somnivora,,4,5,"1,25",,,,,,,,,0,0,,,5,,,Scherzkekse,"5,00125"
70,Kaguron,,10,5,"0,50",1,3,,0,0,0,1,,,,,,,,,Scherzkekse,"5,0005"
109,Kabutops,,2,0,"0,00",,,,,,0,,,,,,,,,,Scherzkekse,0
48,Zytomega,,7,8,"1,14",,3,0,,0,5,0,,,,,,,,,Scherzkekse,"8,001142857"
92,Porygon-Z,,4,2,"0,50",0,,0,,,,2,,,,,,,,,Scherzkekse,"2,0005"
3,Katapuldra,,27,26,"0,96",0,2,2,3,2,1,2,2,5,1,1,1,2,2,,Soulblaze,"26,00096296"
74,Boreos-T,,8,4,"0,50",,,,,,,,2,1,0,1,0,,,,Soulblaze,"4,0005"
64,Pelipper,,20,6,"0,30",0,0,0,,2,0,2,0,1,,0,,0,1,,Soulblaze,"6,0003"
2,Azumarill,,18,26,"1,44",1,2,3,2,3,,2,1,3,3,1,2,,3,,Soulblaze,"26,00144444"
41,Rabigator,,18,10,"0,56",0,,,0,1,1,2,,0,2,1,1,1,1,,Soulblaze,"10,00055556"
48,Galar-Lahmus,,7,8,"1,14",,,,,,,,,,2,3,,2,1,,Soulblaze,"8,001142857"
67,Viscogon,,9,5,"0,56",,,,,,,,1,,1,0,1,2,0,,Soulblaze,"5,000555556"
50,Wie-Shu,,9,8,"0,89",,,,,,,,,0,2,1,2,2,1,,Soulblaze,"8,000888889"
103,Amigento-Stahl,,2,1,"0,50",,,,,,,,,,,,1,,,,Soulblaze,"1,0005"
22,Kappalores,,18,17,"0,94",0,1,3,,2,2,3,3,0,,2,,0,1,,Soulblaze,"17,00094444"
108,Britzigel,,7,1,"0,14",,1,0,,,0,,0,,,,0,,,,Soulblaze,"1,000142857"
85,Hutsassa,,7,3,"0,43",0,,0,3,0,0,,,,,,,,,,Soulblaze,"3,000428571"
53,Lucario,,8,7,"0,88",0,,,3,2,1,1,,,,,,,,,Soulblaze,"7,000875"
81,Lavados,,4,3,"0,75",,,2,1,,0,,,,,,,,,,Soulblaze,"3,00075"
94,Alola-Raichu,,5,2,"0,40",,0,0,,0,2,,,,,,,,,,Soulblaze,"2,0004"
1,Stalobor,,21,33,"1,57",1,6,3,3,,,2,1,1,7,2,5,2,0,,Toon World,"33,00157143"
51,Kyurem,,12,8,"0,67",,,,,,,,0,2,1,3,2,0,0,,Toon World,"8,000666667"
54,Brockoloss,,11,7,"0,64",0,0,1,2,0,1,,,1,,2,,0,,,Toon World,"7,000636364"
57,Feelinara,,14,7,"0,50",0,0,2,0,1,,,2,,0,1,1,,0,,Toon World,"7,0005"
33,Lahmus,,24,12,"0,50",1,1,2,1,1,2,0,1,0,0,1,0,2,0,,Toon World,"12,0005"
62,Grypheldis,,13,6,"0,46",,,1,0,0,1,0,0,,0,0,2,2,,,Toon World,"6,000461538"
55,Amfira,,13,7,"0,54",1,0,2,,0,2,1,,1,0,,,0,0,,Toon World,"7,000538462"
109,Quartermak,,4,0,"0,00",,,,,,,,0,0,0,0,,,,,Toon World,0
29,Donarion,,21,15,"0,71",1,1,0,0,0,3,1,2,,1,2,2,0,2,,Toon World,"15,00071429"
107,Bissbark,,6,1,"0,17",,,,,,,,1,0,,,,0,0,,Toon World,"1,000166667"
66,Trombork,,7,5,"0,71",,,,,,0,2,1,1,,1,0,,0,,Toon World,"5,000714286"
30,Lectragon,,10,13,"1,30",4,0,,3,2,1,3,,,,,,,,,Toon World,"13,0013"
73,Amigento-Normal,,6,4,"0,67",,1,,,3,0,0,,,,,,,,,Toon World,"4,000666667"
83,Viridium,,6,3,"0,50",0,1,1,0,1,,,,,,,,,,,Toon World,"3,0005"
109,,,0,0,,,,,,,,,,,,,,,,,Toon World,0
3,Zeraora,,27,26,"0,96",3,1,4,2,0,2,3,0,5,2,1,1,1,1,,Victory Instinct,"26,00096296"
11,Kapu-Kime,,28,21,"0,75",0,0,1,1,0,3,1,0,0,3,4,2,4,2,,Victory Instinct,"21,00075"
71,Scherox,,12,5,"0,42",0,2,2,0,1,0,,0,,,,0,,0,,Victory Instinct,"5,000416667"
10,Demeteros-I,,17,21,"1,24",3,,0,,4,1,3,5,0,1,,3,1,0,,Victory Instinct,"21,00123529"
37,Volcanion,,15,11,"0,73",0,3,1,0,2,2,,,,,2,,1,0,,Victory Instinct,"11,00073333"
12,Zarude,,10,20,"2,00",,,,,,,,4,1,4,2,1,2,6,,Victory Instinct,"20,002"
63,UHaFnir,,14,6,"0,43",,1,0,,,3,0,0,0,0,1,,1,,,Victory Instinct,"6,000428571"
9,Nidoqueen,,15,21,"1,40",2,1,,7,4,,1,1,4,0,1,0,,,,Victory Instinct,"21,0014"
25,Bronzong,,14,15,"1,07",4,0,,2,,,1,2,0,2,0,,1,3,,Victory Instinct,"15,00107143"
85,Pantimos,,7,3,"0,43",,1,,,,0,,,1,0,1,0,,0,,Victory Instinct,"3,000428571"
91,Miltank,,3,2,"0,67",,,,,,,,,1,0,,,1,,,Victory Instinct,"2,000666667"
109,Rotom,,2,0,"0,00",,,0,,,,0,,,,,,,,,Victory Instinct,0
92,Irokex,,4,2,"0,50",,,1,0,1,,0,,,,,,,,,Victory Instinct,"2,0005"
109,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct,0
109,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct,0
24,Gortrom,,19,16,"0,84",3,0,0,3,1,1,2,0,1,1,,,4,0,,Voltwizards,"16,00084211"
31,Heatran,,22,13,"0,59",0,1,4,1,1,1,1,,0,2,0,0,0,2,,Voltwizards,"13,00059091"
40,Grebbit,,11,10,"0,91",,,,,,,,3,0,1,1,2,3,0,,Voltwizards,"10,00090909"
5,Keldeo,,18,24,"1,33",0,,7,0,3,2,4,,0,1,0,5,1,1,,Voltwizards,"24,00133333"
28,Raikou,,20,15,"0,75",0,0,1,,1,2,,1,0,0,1,4,3,2,,Voltwizards,"15,00075"
38,Iksbat,,21,11,"0,52",1,3,0,0,2,0,0,0,1,1,,0,1,2,,Voltwizards,"11,00052381"
99,Selfe,,9,2,"0,22",,,,,,,,0,0,0,1,1,0,0,,Voltwizards,"2,000222222"
19,Curelei,,12,18,"1,50",6,,,,,5,0,3,,0,2,,0,2,,Voltwizards,"18,0015"
96,Zobiris,,7,2,"0,29",0,0,,2,0,,,,,,0,0,0,,,Voltwizards,"2,000285714"
104,Sniebel,,3,1,"0,33",,,,,,,,1,,0,,,0,,,Voltwizards,"1,000333333"
109,Skuntank,,6,0,"0,00",,,,,,,,0,0,0,0,0,,,,Voltwizards,0
47,Tandrak,,6,8,"1,33",,5,,2,,1,,,,,,,,,,Voltwizards,"8,001333333"
109,Kangama,,4,0,"0,00",,0,0,,0,,0,,,,,,,,,Voltwizards,0
101,Morbitesse,,1,1,"1,00",,,,,1,,,,,,,,,,,Voltwizards,"1,001"
67,Mamutel,,9,5,"0,56",2,,0,0,0,0,3,,,,,,,,,Voltwizards,"5,000555556"
