

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team
25,Meistagrif,,6,7,"1,17",,3,0,1,,,,,2,1,,,0,,,Scherzkekse,"7,001166667"
89,Krarmor,,2,1,"0,50",,,,,,,,,,1,,,,0,,Scherzkekse,"1,0005"
8,Milotic,,11,11,"1,00",1,0,2,1,0,,0,3,1,,2,,0,1,,Scherzkekse,"11,001"
71,Riffex-Hoch,,1,2,"2,00",,,,,,,,,,,,2,,,,Scherzkekse,"2,002"
84,Piepi,,10,2,"0,20",0,,,0,0,0,0,0,0,,2,,0,0,,Scherzkekse,"2,0002"
44,Piondragi,,4,4,"1,00",,,,,0,,3,,,,1,0,,,,Scherzkekse,"4,001"
29,Togedemaru,,12,7,"0,58",1,1,1,,0,1,1,1,1,0,,0,0,0,,Scherzkekse,"7,000583333"
37,Somnivora,,3,5,"1,67",,,,,,,,,0,0,,,5,,,Scherzkekse,"5,001666667"
62,Kaguron,,4,3,"0,75",1,2,,0,,,0,,,,,,,,,Scherzkekse,"3,00075"
102,Kabutops,,1,0,"0,00",,,,,,0,,,,,,,,,,Scherzkekse,0
74,Zytomega,,3,2,"0,67",,0,0,,,2,,,,,,,,,,Scherzkekse,"2,000666667"
71,Porygon-Z,,1,2,"2,00",,,,,,,2,,,,,,,,,Scherzkekse,"2,002"
10,Katapuldra,,13,11,"0,85",0,1,,2,1,0,1,0,3,0,1,1,0,1,,Soulblaze,"11,00084615"
96,Boreos-T,,4,1,"0,25",,,,,,,,1,0,,0,0,,,,Soulblaze,"1,00025"
58,Pelipper,,9,4,"0,44",0,0,0,,1,0,2,0,1,,,,0,,,Soulblaze,"4,000444444"
6,Azumarill,,7,12,"1,71",,2,2,0,2,,,,2,1,,,,3,,Soulblaze,"12,00171429"
26,Rabigator,,9,7,"0,78",0,,,0,0,1,1,,,2,1,1,,1,,Soulblaze,"7,000777778"
31,Galar-Lahmus,,4,6,"1,50",,,,,,,,,,1,2,,2,1,,Soulblaze,"6,0015"
50,Viscogon,,6,4,"0,67",,,,,,,,1,,1,0,1,1,0,,Soulblaze,"4,000666667"
67,Wie-Shu,,6,3,"0,50",,,,,,,,,0,0,1,0,2,0,,Soulblaze,"3,0005"
102,Amigento-Stahl,,1,0,"0,00",,,,,,,,,,,,0,,,,Soulblaze,0
56,Kappalores,,8,4,"0,50",0,0,0,,2,,1,1,0,,,,0,,,Soulblaze,"4,0005"
91,Britzigel,,3,1,"0,33",,1,0,,,,,0,,,,,,,,Soulblaze,"1,000333333"
100,Hutsassa,,5,1,"0,20",0,,0,1,0,0,,,,,,,,,,Soulblaze,"1,0002"
62,Lucario,,4,3,"0,75",0,,,2,,0,1,,,,,,,,,Soulblaze,"3,00075"
59,Lavados,,3,3,"1,00",,,2,1,,0,,,,,,,,,,Soulblaze,"3,001"
102,Alola-Raichu,,1,0,"0,00",,0,,,,,,,,,,,,,,Soulblaze,0
8,Stalobor,,11,11,"1,00",,1,0,1,,,1,1,1,2,0,2,2,0,,Toon World,"11,001"
50,Kyurem,,6,4,"0,67",,,,,,,,0,1,0,2,1,,0,,Toon World,"4,000666667"
73,Brockoloss,,2,2,"1,00",,,,1,,,,,1,,,,,,,Toon World,"2,001"
50,Feelinara,,6,4,"0,67",0,,2,,,,,0,,0,1,1,,,,Toon World,"4,000666667"
17,Lahmus,,10,9,"0,90",1,1,1,1,1,2,0,0,,,,,2,0,,Toon World,"9,0009"
74,Grypheldis,,3,2,"0,67",,,,,0,,,,,,,0,2,,,Toon World,"2,000666667"
56,Amfira,,8,4,"0,50",1,0,2,,0,1,,,,0,,,0,0,,Toon World,"4,0005"
102,Quartermak,,3,0,"0,00",,,,,,,,,0,0,0,,,,,Toon World,0
10,Donarion,,13,11,"0,85",1,0,0,0,0,3,0,0,,1,2,2,0,2,,Toon World,"11,00084615"
96,Bissbark,,4,1,"0,25",,,,,,,,1,0,,,,0,0,,Toon World,"1,00025"
47,Trombork,,5,4,"0,80",,,,,,0,2,,1,,1,0,,,,Toon World,"4,0008"
47,Lectragon,,5,4,"0,80",1,,,0,0,0,3,,,,,,,,,Toon World,"4,0008"
44,Amigento-Normal,,4,4,"1,00",,1,,,3,0,0,,,,,,,,,Toon World,"4,001"
76,Viridium,,4,2,"0,50",0,1,1,0,,,,,,,,,,,,Toon World,"2,0005"
102,,,0,0,,,,,,,,,,,,,,,,,Toon World,0
18,Zeraora,,14,9,"0,64",3,0,1,0,0,1,2,0,0,0,0,0,1,1,,Victory Instinct,"9,000642857"
12,Kapu-Kime,,14,11,"0,79",0,0,0,0,0,1,0,0,0,2,3,1,2,2,,Victory Instinct,"11,00078571"
59,Scherox,,3,3,"1,00",0,2,,,1,,,,,,,,,,,Victory Instinct,"3,001"
32,Demeteros-I,,6,6,"1,00",2,,,,1,0,1,0,,,,2,,,,Victory Instinct,"6,001"
14,Volcanion,,9,10,"1,11",0,3,1,0,1,2,,,,,2,,1,0,,Victory Instinct,"10,00111111"
13,Zarude,,5,10,"2,00",,,,,,,,4,,4,,1,0,1,,Victory Instinct,"10,002"
69,UHaFnir,,8,3,"0,38",,0,0,,,2,0,0,,0,0,,1,,,Victory Instinct,"3,000375"
2,Nidoqueen,,7,14,"2,00",1,,,6,3,,0,,4,0,,0,,,,Victory Instinct,"14,002"
39,Bronzong,,6,5,"0,83",,,,0,,,,2,0,,0,,1,2,,Victory Instinct,"5,000833333"
68,Pantimos,,7,3,"0,43",,1,,,,0,,,1,0,1,0,,0,,Victory Instinct,"3,000428571"
86,Miltank,,1,1,"1,00",,,,,,,,,1,,,,,,,Victory Instinct,"1,001"
102,Rotom,,1,0,"0,00",,,0,,,,,,,,,,,,,Victory Instinct,0
91,Irokex,,3,1,"0,33",,,1,0,,,0,,,,,,,,,Victory Instinct,"1,000333333"
102,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct,0
102,,,0,0,,,,,,,,,,,,,,,,,Victory Instinct,0
36,Gortrom,,8,6,"0,75",2,0,,1,,1,,0,1,1,,,,0,,Voltwizards,"6,00075"
26,Heatran,,9,7,"0,78",0,0,4,1,0,,0,,0,1,,,,1,,Voltwizards,"7,000777778"
38,Grebbit,,5,5,"1,00",,,,,,,,2,0,,,0,3,0,,Voltwizards,"5,001"
1,Keldeo,,7,15,"2,14",,,2,,3,2,4,,,,0,4,,0,,Voltwizards,"15,00214286"
21,Raikou,,9,8,"0,89",,0,0,,0,2,,1,,0,1,2,2,,,Voltwizards,"8,000888889"
15,Iksbat,,13,10,"0,77",1,2,0,0,2,0,0,0,1,1,,0,1,2,,Voltwizards,"10,00076923"
91,Selfe,,3,1,"0,33",,,,,,,,,0,,1,,,0,,Voltwizards,"1,000333333"
33,Curelei,,7,6,"0,86",1,,,,,0,0,3,,0,2,,0,,,Voltwizards,"6,000857143"
83,Zobiris,,6,2,"0,33",0,0,,2,,,,,,,0,0,0,,,Voltwizards,"2,000333333"
102,Sniebel,,1,0,"0,00",,,,,,,,,,,,,0,,,Voltwizards,0
102,Skuntank,,5,0,"0,00",,,,,,,,0,0,0,0,0,,,,Voltwizards,0
43,Tandrak,,3,4,"1,33",,1,,2,,1,,,,,,,,,,Voltwizards,"4,001333333"
102,Kangama,,3,0,"0,00",,,0,,0,,0,,,,,,,,,Voltwizards,0
86,Morbitesse,,1,1,"1,00",,,,,1,,,,,,,,,,,Voltwizards,"1,001"
44,Mamutel,,4,4,"1,00",2,,0,0,,,2,,,,,,,,,Voltwizards,"4,001"
