,,,,,,,,,,,,,,,,,,,Sandamer,,,,,,,,,Illumise
,,,,,,,,,,,,,,,,,,,Sarzenia,,,,,,,,,Mopex
,,,,,,,,,,,,,,,,,,,Schlaraffel,,,,,,,,,Psiana
,,,,,,,,,,,,,,,,,,,Schligdri,,,,,,,,,Grypheldis
,,,,,,,,,,,,,,,,,,,Schlukwech,,,,,,,,,Britzigel
,,,,,,,,,,,,,,,,,,,Sengo,,,,,,,,,Guardevoir
,,,,,,,,,,,,,,,,,,,Skarabaks,,,,,,,,,Skorgla
,,,,,,,,,,,,,,,,,,,Skuntank,,,,,,,,,Suicune
,,,,,,,,,,,,,,,,,,,Sleimok,,,,,,,,,Pixi
,,,,,,,,,,,,,,,,,,,Snobilikat,,,,,,,,,Mottineva
,,,,,,,,,,,,,,,,,,,Sonnflora,,,,,,,,,Nockchan
,,,,,,,,,,,,,,,,,,,Spinsidias,,,,,,,,,Aggrostella
,,,,,,,,,,,,,,,,,,,Swaroness,,,,,,,,,Traunfugil
,,,,,,,,,,,,,,,,,,,Traunfugil,,,,,,,,,Turtok
,,,,,,,,,,,,,,,,,,,Trombork,,,,,,,,,Riffex
,,,,,,,,,,,,,,,,,,,Tropius,,,,,,,,,Irokex
,,,,,,,,,,,,,,,,,,,Tukanon,,,,,,,,,Silvarro
,,,,,,,,,,,,,,,,,,,Vipitis,,,,,,,,,Brutalanda
,,,,,,,,,,,,,,,,,,,Viscargot,,,,,,,,,Schlurm
,,,,,,,,,,,,,,,,,,,Voluminas,,,,,,,,,Pamomamo
,,,,,,,,,,,,,,,,,,,Wagong,,,,,,,,,Affiti
,,,,,,,,,,,,,,,,,,,Welsar,,,,,,,,,Relaxo
,,,,,,,,,,,,,,,,,,,Wiesenior,,,,,,,,,Tenterra
,,,,,,,,,,,,,,,,,,,Wummer,,,,,,,,,Ambidiffel
,,,,,,,,,,,,,,,,,,,Zebritz,,,,,,,,,Chimstix
,,,,,,,,,,,,,,,,,,,Zirpeise,,,,,,,,,Bronzong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myriador
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garados
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltrean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meloetta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gastrodon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horrerba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zobiris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florges
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piepi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impoleon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giflor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rameidon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kronjuwild
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokusan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gewaldro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morpeko
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bandelby
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tentoxa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servol-w
